-----
{
 "description": "This table presents data on number of banks and persons employed in the banking sector separately in respect of scheduled and non-scheduled banks in regional rural banks and in the reserve bank of India during the period 2000-2001 to 2009-10.", 
 "file_name": "EMPLOYMENT_IN_BANKS.xls", 
 "title": "Download XLS for Employment In Banks", 
 "url": "http://data.gov.in/sites/default/files/EMPLOYMENT_IN_BANKS.xls"
}
-----
"Year","Scheduled banks No. of banks Indian","Scheduled banks No. of banks Foreign","Scheduled banks No. of employees Indian","Scheduled banks No. of employees Foreign","Non-scheduled banks No. of banks","Non-scheduled banks No. of employees","Regional Rural Banks No. of banks","Regional Rural Banks No. of employees","Reserve Bank of India No. of employees","Grand Total No. of employees"
"2000-01",58.0,42.0,848.0,13.0,"NA","NA",196.0,65.0,31.0,"NA"
"2001-02",58.0,40.0,824.0,12.0,4.0,"NA",196.0,65.0,30.0,"NA"
"2002-03",58.0,36.0,824.0,12.0,4.0,"NA",196.0,65.0,29.0,"NA"
"2003-03",57.0,33.0,805.0,11.0,5.0,"NA",196.0,66.0,25.0,"NA"
"2004-05",58.0,31.0,822.0,13.0,4.0,"NA",196.0,66.0,23.0,"NA"
"2005-06",56.0,29.0,819.0,17.0,"NA","NA",133.0,64.0,22.0,"NA"
"2006-07",53.0,29.0,817.0,19.0,4.0,"NA",96.0,64.0,22.0,"NA"
"2007-08",51.0,28.0,757.0,18.0,4.0,"NA",90.0,64.0,21.0,"NA"
"2008-09",49.0,31.0,788.0,17.0,4.0,"NA",86.0,65.0,21.0,"NA"
"2009-10",49.0,32.0,840.0,21.0,4.0,"NA",82.0,65.0,20.0,"NA"
