-----
{
 "description": "Data provides list of blocks awarded with Nirmal Gram Puraskar (NGP) upto 2011.", 
 "file_name": "List_of_Blocks_Awarded_with_NGP_Upto_2011.xls", 
 "title": "Download XLS for List of Blocks Awarded With Nirmal Gram Puraskar Upto 2011", 
 "url": "http://data.gov.in/sites/default/files/List_of_Blocks_Awarded_with_NGP_Upto_2011.xls"
}
-----
"State Name","District Name","Block Name","Awarded Year"
"ANDHRA PRADESH","KHAMMAM","VEMSOOR",2008.0
"BIHAR","VAISHALI","DESRI",2007.0
"HARYANA","SIRSA","SIRSA",2008.0
"HIMACHAL PRADESH","BILASPUR","GHUMARWIN",2008.0
"KARNATAKA","DAKSHIN KANNAD","BANTWAL",2009.0
"KARNATAKA","DAKSHIN KANNAD","BELTANGADI",2009.0
"KARNATAKA","DAKSHIN KANNAD","MANGALORE",2011.0
"KARNATAKA","DAKSHIN KANNAD","PUTTUR",2009.0
"KARNATAKA","DAKSHIN KANNAD","SULLIA",2011.0
"KARNATAKA","UTTAR KANNADA","YELLAPUR",2008.0
"KERALA","ALAPPUZHA","AMBALAPUZHA",2008.0
"KERALA","ALAPPUZHA","ARYAD",2008.0
"KERALA","ALAPPUZHA","BARANIKKAVU",2008.0
"KERALA","ALAPPUZHA","CHAMBAKKULAM",2008.0
"KERALA","ALAPPUZHA","CHENGANNUR",2008.0
"KERALA","ALAPPUZHA","HARIPPAD",2008.0
"KERALA","ALAPPUZHA","KANJIKUZHY",2008.0
"KERALA","ALAPPUZHA","MAVELIKKARA",2008.0
"KERALA","ALAPPUZHA","MUTHUKULAM",2009.0
"KERALA","ALAPPUZHA","PATTANAKKAD",2008.0
"KERALA","ALAPPUZHA","THYCATTUSSERY",2008.0
"KERALA","ALAPPUZHA","VELIYANAD",2008.0
"KERALA","ERNAKULAM","(NORTH)PARAVOOR",2008.0
"KERALA","ERNAKULAM","ALANGAD",2009.0
"KERALA","ERNAKULAM","ANGAMALY",2008.0
"KERALA","ERNAKULAM","EDAPPALLY",2011.0
"KERALA","ERNAKULAM","KOOVAPPADY",2008.0
"KERALA","ERNAKULAM","KOTHAMANGALAM",2009.0
"KERALA","ERNAKULAM","MULANTHURUTHY",2008.0
"KERALA","ERNAKULAM","MUVATTUPUZHA",2008.0
"KERALA","ERNAKULAM","PALLURUTHY",2011.0
"KERALA","ERNAKULAM","PAMPAKUDA",2008.0
"KERALA","ERNAKULAM","PARAKKADAV",2008.0
"KERALA","ERNAKULAM","VADAVUCODE",2008.0
"KERALA","ERNAKULAM","VAZHAKKULAM",2008.0
"KERALA","ERNAKULAM","VYPIN",2009.0
"KERALA","ERNAKULAM","VYTTALA",2008.0
"KERALA","IDUKKI","ELAMDESAM",2009.0
"KERALA","IDUKKI","IDUKKI",2011.0
"KERALA","IDUKKI","NEDUMKANDOM",2009.0
"KERALA","IDUKKI","THODUPUZHA",2008.0
"KERALA","KANNUR","EDAKKAD",2008.0
"KERALA","KANNUR","IRIKKUR",2008.0
"KERALA","KANNUR","IRITTY",2008.0
"KERALA","KANNUR","KANNUR",2008.0
"KERALA","KANNUR","KOOTHUPARAMBU",2007.0
"KERALA","KANNUR","PAYYANNUR",2008.0
"KERALA","KANNUR","PERAVOOR",2008.0
"KERALA","KANNUR","THALIPARAMBU",2008.0
"KERALA","KASARAGOD","KANHANGAD",2011.0
"KERALA","KASARAGOD","KASARAGOD",2011.0
"KERALA","KASARAGOD","MANJESHWAR",2011.0
"KERALA","KASARAGOD","NILESHWAR",2011.0
"KERALA","KOLLAM","ANCHAL",2008.0
"KERALA","KOLLAM","ANCHALUMOODU",2008.0
"KERALA","KOLLAM","CHADAYAMANGALAM",2009.0
"KERALA","KOLLAM","CHAVARA",2008.0
"KERALA","KOLLAM","CHITTUMALA",2008.0
"KERALA","KOLLAM","ITHIKKARA",2008.0
"KERALA","KOLLAM","KOTTARAKKARA",2008.0
"KERALA","KOLLAM","MUKHATHALA",2008.0
"KERALA","KOLLAM","OCHIRA",2009.0
"KERALA","KOLLAM","VETTIKKAVALA",2008.0
"KERALA","KOTTAYAM","LALAM",2011.0
"KERALA","KOTTAYAM","PAMPADY",2011.0
"KERALA","KOTTAYAM","VAIKOM",2010.0
"KERALA","KOZHIKODE","BALUSSERY",2008.0
"KERALA","KOZHIKODE","CHELANNUR",2008.0
"KERALA","KOZHIKODE","KODUVALLY",2008.0
"KERALA","KOZHIKODE","KOZHIKODE",2008.0
"KERALA","KOZHIKODE","KUNNAMANGALAM",2008.0
"KERALA","KOZHIKODE","KUNNUMMAL",2008.0
"KERALA","KOZHIKODE","MELADY",2008.0
"KERALA","KOZHIKODE","PANTHALAYANI",2008.0
"KERALA","KOZHIKODE","PERAMBRA",2008.0
"KERALA","KOZHIKODE","THODANNUR",2008.0
"KERALA","KOZHIKODE","TUNERI",2008.0
"KERALA","KOZHIKODE","VADAKARA",2008.0
"KERALA","MALAPPURAM","KONDOTTY",2008.0
"KERALA","MALAPPURAM","MALAPPURAM",2009.0
"KERALA","MALAPPURAM","MANKADA",2009.0
"KERALA","MALAPPURAM","PERINTHALMANNA",2008.0
"KERALA","MALAPPURAM","PERUMPADAPPU",2009.0
"KERALA","MALAPPURAM","TIRUR",2011.0
"KERALA","MALAPPURAM","TIRURANGADI",2009.0
"KERALA","MALAPPURAM","VENGARA",2009.0
"KERALA","MALAPPURAM","WANDOOR",2008.0
"KERALA","PALAKKAD","KUZHALMANNAM",2008.0
"KERALA","PALAKKAD","NEMMARA",2011.0
"KERALA","PALAKKAD","OTTAPALAM",2008.0
"KERALA","PALAKKAD","SREEKRISHNAPURAM",2008.0
"KERALA","PALAKKAD","THRITHALA",2008.0
"KERALA","PATHANAMTHITTA","ELANTHOOR",2009.0
"KERALA","PATHANAMTHITTA","KOIPPURAM",2008.0
"KERALA","PATHANAMTHITTA","KONNI",2008.0
"KERALA","PATHANAMTHITTA","KULANADA",2008.0
"KERALA","PATHANAMTHITTA","MALLAPPALLY",2009.0
"KERALA","PATHANAMTHITTA","PANDALAM",2008.0
"KERALA","PATHANAMTHITTA","PARAKODE",2008.0
"KERALA","PATHANAMTHITTA","PULIKEEZHU",2008.0
"KERALA","PATHANAMTHITTA","RANNI",2008.0
"KERALA","THIRUVANANTHAPURAM","KAZHAKKOOTTAM",2008.0
"KERALA","THIRUVANANTHAPURAM","NEMOM",2008.0
"KERALA","THIRUVANANTHAPURAM","PARASALA",2008.0
"KERALA","THIRUVANANTHAPURAM","PERUMKADAVILA",2008.0
