-----
{
 "description": "The table refers to the state's gross domestic product at constant prices for the base year 1993-94.", 
 "file_name": "delhiGSDPconst.csv", 
 "title": "Download CSV for Delhi Gross State Domestic Product at factor cost at Constant Prices for the base year 1993-94", 
 "url": "http://data.gov.in/sites/default/files/delhiGSDPconst.csv"
}
-----
"Sector","1993-1994","1994-1995","1995-1996","1996-1997","1997-1998","1998-1999","1999-2000","2000-2001","2001-2002","2002-2003","2003-2004","2004-2005"
"Agriculture","77871","42418","34120","31460","39841","49698","44258","52128","51430","51152","50013","50767"
"Foresty and Logging","97","109","109","109","109","111","112","112","115","120","123","118"
"Fishing","1512","1552","1591","1591","1671","1751","1711","1584","1273","895","835","560"
"Mining and Quarrying","1421","561","75","24","76","18","22","109","73","78","140","69"
"Sub total of primary","80901","44640","35895","33184","41697","51578","46103","53933","52891","52245","51111","747"
"Manufacturing","355108","459228","351531","343395","387168","411708","429931","469055","503018","530442","551869","637582"
"Registered","149617","234896","149440","147507","167731","166691","184173","185101","198858","209700","218170","252055"
"Unregistered","205491","224332","202091","195888","219437","245017","245758","283954","304160","320742","333699","385527"
"Construction","143988","144885","157170","185105","236140","237063","188995","395649","339138","317351","334259","376041"
"Electricity, Gas and water Supply","29763","24893","25268","26084","31234","33349","33408","36318","37303","34036","33237","34666"
"Sub total of secondary","528859","629006","533969","554584","654542","682120","652334","901022","879459","881829","919365","1048289"
"Transport Storage and Communication","228268","254300","273028","287814","316508","343842","377204","455521","555659","608031","815416","970727"
"Railways","11733","11469","12844","13438","15624","16129","14450","17123","15973","16617","17683","18956"
"Transport by other means","144169","160466","168994","168906","180378","192120","197445","212251","226248","163561","181089","203906"
"Storage","1252","819","866","825","775","758","689","737","723","648","644","657"
"Communication","71114","81546","90324","104645","119731","134835","164620","225410","312715","427205","616000","747208"
"Trade, hotels and restaurants","432711","528251","533041","594783","625033","675497","690185","785699","877875","908488","956274","1033732"
"Banking and Insurance","328218","362876","459374","634769","826133","808126","900334","907796","851011","907469","975045","1074500"
"Real estate, ownership of dwelling and business","189611","200850","212967","225119","239899","256152","275114","301085","322397","344110","367880","398782"
"Pubic Administration","114416","117859","128625","141376","168820","167806","186407","181010","181188","183320","191667","207384"
"Other Services","196195","212503","234060","255212","277288","317067","332824","358293","380233","406472","436588","480247"
"Sub total of tertiary","1489419","1676639","1841095","2139073","2453681","2568490","2762068","2989404","3168363","3357890","3742870","4165372"
"State domestic product","2099179","2350285","2410959","2726841","3149920","3302188","3460505","3944359","4100713","4291964","4713346","5265175"

"Figures are in Rs. Lakh"
