-----
{
 "description": "The table refers to district wise distribution of shallow tubewells by type . The report has been sourced from 2nd census of minor irrigation scheme(1993-94) from ministry of water resources.", 
 "file_name": "Districtshtbwl2.5.csv", 
 "title": "Download CSV for District wise Distribution of Shallow Tubewells by type for 2nd Census of Minor Irrigation Schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/Districtshtbwl2.5.csv"
}
-----
State,District,Shallow tubewell,Filter,Borewell,Others,Total
TAMIL NADU,TRICHIRAPPALLI,507,87,97,58,749
TAMIL NADU,VILLUPURAM,2692,499,2432,242,5865
TRIPURA,DHALAI,43,14,1,0,58
TRIPURA,NORTH,0,5,0,0,5
TRIPURA,SOUTH,55,1,3,0,59
TRIPURA,WEST,10,2,0,2,14
UTTAR PRADESH,AGRA,34890,282,164,13,35349
UTTAR PRADESH,ALIGARH,47389,1088,505,143,49125
UTTAR PRADESH,ALLAHABAD,26362,328,749,286,27725
UTTAR PRADESH,AMBEDKAR NAGAR,34049,242,1267,73,35631
UTTAR PRADESH,AZAMGARH,27612,133,726,72,28543
UTTAR PRADESH,BADAUN,53649,475,1,1,54126
UTTAR PRADESH,BAHRAICH,52182,157,329,314,52982
UTTAR PRADESH,BALLIA,21973,309,865,354,23501
UTTAR PRADESH,BANDA,5706,55,335,66,6162
UTTAR PRADESH,BARABANKI,31969,204,889,181,33243
UTTAR PRADESH,BAREILLY,47556,214,427,417,48614
UTTAR PRADESH,BASTI,46251,0,0,0,46251
UTTAR PRADESH,BIJNOR,55732,2564,1361,1254,60911
UTTAR PRADESH,BULANDSHAHR,45035,0,0,0,45035
UTTAR PRADESH,DEHRADUN,421,0,35,2,458
UTTAR PRADESH,DEORIA,34242,150,623,95,35110
UTTAR PRADESH,ETAH,38848,489,2374,286,41997
UTTAR PRADESH,ETAWAH,29172,329,136,96,29733
UTTAR PRADESH,FAIZABAD,28446,2108,112,15,30681
UTTAR PRADESH,FARUKHABAD,44954,2018,2723,264,49959
UTTAR PRADESH,FATEHPUR,10877,409,1198,30,12514
UTTAR PRADESH,FIROZABAD,19208,499,682,1,20390
UTTAR PRADESH,GHAZIABAD,27404,1015,2716,52,31187
UTTAR PRADESH,GHAZIPUR,19570,124,188,243,20125
UTTAR PRADESH,GONDA,50546,666,215,63,51490
UTTAR PRADESH,GORAKHPUR,42085,619,830,2750,46284
UTTAR PRADESH,HAMIRPUR,7196,104,159,13,7472
UTTAR PRADESH,HARDOI,41016,1000,1321,123,43460
UTTAR PRADESH,HARDWAR,21242,898,1171,19,23330
UTTAR PRADESH,JALAUN,4874,101,243,65,5283
UTTAR PRADESH,JAUNPUR,52101,405,3218,301,56025
UTTAR PRADESH,JHANSI,823,120,140,14,1097
UTTAR PRADESH,KANPUR DEHAT,32253,720,407,60,33440
UTTAR PRADESH,KANPUR NAGAR,7756,11,3,4,7774
UTTAR PRADESH,KHIRI,54387,1061,3036,327,58811
UTTAR PRADESH,KUSHI NAGAR,26318,176,697,658,27849
UTTAR PRADESH,LALITPUR,261,25,0,0,286
UTTAR PRADESH,LUCKNOW,20436,546,911,536,22429
UTTAR PRADESH,MAHOBA,173,0,0,0,173
UTTAR PRADESH,MAHRAJGANJ,29739,97,537,51,30424
UTTAR PRADESH,MAINPURI,19517,137,270,101,20025
UTTAR PRADESH,MATHURA,35788,1495,1139,253,38675
UTTAR PRADESH,MAU,10062,500,108,30,10700
UTTAR PRADESH,MEERUT,49178,1880,1933,155,53146
UTTAR PRADESH,MIRZAPUR,1650,7,434,66,2157
UTTAR PRADESH,MORADABAD,67641,741,146,201,68729
UTTAR PRADESH,MUZAFFER NAGAR,61480,529,474,172,62655
UTTAR PRADESH,NAINITAL,156,0,0,30,186
UTTAR PRADESH,PILIBHIT,25745,92,52,890,26779
UTTAR PRADESH,PRATAPGARH,24662,80,13451,14,38207
UTTAR PRADESH,RAEBARELY,38824,421,261,206,39712
UTTAR PRADESH,RAMPUR,45793,8,6,6,45813
UTTAR PRADESH,SAHARANPUR,46954,2139,6000,320,55413
UTTAR PRADESH,SANT RAVIDAS NAGAR,6735,8,522,4,7269
UTTAR PRADESH,SHAHJAHANPUR,72469,993,1305,28,74795
UTTAR PRADESH,SIDDHARTH NAGAR,21809,583,190,107,22689
UTTAR PRADESH,SITAPUR,51474,1511,2981,2088,58054
UTTAR PRADESH,SONBHADRA,1067,27,135,11,1240
UTTAR PRADESH,SULTANPUR,31391,773,363,49,32576
UTTAR PRADESH,UDHAMSINGH NAGAR,21725,186,413,116,22440
UTTAR PRADESH,UNNAO,47760,0,0,0,47760
UTTAR PRADESH,VARANASI,17870,162,375,160,18567
WEST BENGAL,BANKURA,20923,907,160,161,22151
WEST BENGAL,BIRBHUM,18136,546,262,545,19489
WEST BENGAL,BURDWAN,40010,3813,238,1597,45658
WEST BENGAL,COOCHBEHAR,18899,3322,5,158,22384
WEST BENGAL,DAKSHIN DINAJPUR,11738,533,405,44,12720
WEST BENGAL,DARJEELING,966,1401,1,224,2592
WEST BENGAL,HOOGLY,17981,1863,328,483,20655
WEST BENGAL,HOWRAH,817,156,2,75,1050
WEST BENGAL,JALPAIGURI,5216,1593,57,158,7024
WEST BENGAL,MALDA,27020,1919,716,136,29791
WEST BENGAL,MIDNAPORE,57052,1748,1846,2087,62733
WEST BENGAL,MURSHIDABAD,70993,3807,583,252,75635
WEST BENGAL,NADIA,81014,2719,899,526,85158
WEST BENGAL,NORTH 24 PARGANAS,53915,1507,1610,307,57339
WEST BENGAL,PURULIA,10,1,0,0,11
WEST BENGAL,SOUTH 24 PARGANAS,6014,101,15,84,6214
WEST BENGAL,UTTAR DINAJPUR,31997,937,925,175,34034
DELHI,EAST,345,1,0,0,346
DELHI,NORTH-EAST,470,0,1,0,471
DELHI,NORTH-WEST,3667,4,1,3,3675
DELHI,SOUTH-WEST,4165,8,6,1,4180
DELHI,WEST,267,1,80,0,348
PONDICHERRY,KARAIKAL,95,17,138,0,250
PONDICHERRY,PONDICHERRY,2566,21,1056,2,3645
