-----
{
 "description": "The table refers to state wise surface lift schemes in the command of major/minor projects and average pumping hours. It has been sourced from 2nd census of minor irrigation scheme(1993-94) from Ministry of Water Resources.", 
 "file_name": "Natsrfclfttab5.11_1.csv", 
 "title": "Download CSV for Statewise surface lift Schemes in the command of major/medium projects and Average pumping hours for 2nd census of minor irrigation schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/Natsrfclfttab5.11_1.csv"
}
-----
State,Location of Schemes - On the Maj/Med,Location of schemes - Outside command,Avg pumping hours (0-4),Avg pumping hours (4-8),Avg pumping hours (8-12),Avg pumping hours (12-16),Avg pumping hours (16-20),Avg pumping hours (20-24),Total
ANDHRA PRADESH,3159,16267,5421,8681,4218,735,281,90,19426
ARUNACHAL PRADESH,NA,NA,NA,NA,NA,NA,NA,NA,NA
ASSAM,0,9110,4734,4181,192,3,0,0,9110
BIHAR,783,10283,6434,3315,1130,114,50,23,11066
GOA,91,661,423,294,27,5,3,0,752
GUJARAT,NA,NA,NA,NA,NA,NA,NA,NA,NA
HARYANA,12,170,23,157,2,0,0,0,182
HIMACHAL PRADESH,8,549,173,206,55,68,32,23,557
JAMMU & KASHMIR,83,268,0,180,0,0,0,0,180
KARNATAKA,6992,25356,10810,14114,4443,919,1143,919,32348
KERALA,1144,10120,7958,2637,455,101,81,32,11264
MADHYA PRADESH,4751,184124,58461,78463,36764,9436,4767,984,188875
MAHARASHTRA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MANIPUR,0,20,0,7,9,3,1,0,20
MEGHALAYA,1,14,7,8,0,0,0,0,15
MIZORAM,0,12,2,10,0,0,0,0,12
NAGALAND,0,19,1,16,2,0,0,0,19
ORISSA,1802,18802,13688,5549,995,220,136,16,20604
PUNJAB,133,631,31,293,319,91,6,24,764
RAJASTHAN,1,288,49,129,62,10,26,13,289
SIKKIM,NA,NA,NA,NA,NA,NA,NA,NA,NA
TAMIL NADU,2922,8655,6245,4981,208,72,61,10,11577
TRIPURA,5,824,295,410,106,14,4,0,829
UTTAR PRADESH,1106,2360,1304,1384,463,114,77,124,3466
WEST BENGAL,16991,66654,32010,29084,18796,2896,859,0,83645
ANDAMAN & NICOBARS,1,1209,1208,1,0,0,1,0,1210
CHANDIGARH,NA,NA,NA,NA,NA,NA,NA,NA,NA
DADRA & NAGAR HAVELI,0,54,18,21,14,1,0,0,54
DAMAN & DIU,NA,NA,NA,NA,NA,NA,NA,NA,NA
DELHI,NA,NA,NA,NA,NA,NA,NA,NA,NA
LAKSHADWEEP,NA,NA,NA,NA,NA,NA,NA,NA,NA
PONDICHERRY,0,406,0,372,34,0,0,0,406
ALL INDIA,39985,356856,149295,154493,68294,14802,7528,2258,396670
