-----
{
 "description": "The table refers to Statewise Distribution of Surface Flow Schemes by type. The report has been sourced from 3rd census of minor irrigation scheme(2000-01) from Ministry of Water Resources.", 
 "file_name": "srfcflowNat4.5.csv", 
 "title": "Download CSV for Statewise Distribution of Surface Flow Schemes by type", 
 "url": "http://data.gov.in/sites/default/files/srfcflowNat4.5.csv"
}
-----
"State","Tanks","Storage","Permanent Diversion","Temporary Diversion","Water Conversation","Total"
"ANDHRA PRADESH",58245,16014,1889,2747,3548,82443
"ARUNACHAL PRADESH",47,247,2054,1603,2,3953
"ASSAM",223,449,428,779,327,2206
"BIHAR",2337,11345,3910,2511,2098,22201
"CHHATTISGARH",33784,2044,3202,10583,1836,51449
"GOA",591,2197,228,662,183,3861
"GUJ ARAT",1973,1797,2708,432,11816,18726
"HARYANA",330,55,337,28,21,771
"HIMACHAL PRADESH",348,342,4569,8670,0,13929
"JAMMU & KASHMIR",146,612,3885,1128,92,5863
"JHARKHAND",4167,29527,1751,2550,5233,43228
"KARNATAKA",20358,3330,2895,3616,574,30773
"KERALA",2664,3181,3618,1217,277,10957
"MADHYA PRADESH",27718,3038,9368,13516,3084,56724
"MAHARASHTRA",50000,6681,7696,3167,157,67701
"MANIPUR",0,2,238,72,0,312
"MEGHALAYA",44,222,811,11320,17,12414
"MIZORAM",92,518,1155,5934,3,7702
"NAGALAND",53,86,2488,17313,6,19946
"ORISSA",14339,6894,3987,2376,707,28303
"PUNJAB",228,47,1284,215,212,1986
"RAJASTHAN",1995,677,224,163,46,3105
"SIKKI M",34,394,648,0,0,1076
"TAMIL NADU",22711,15541,5312,1114,921,45599
"TRIPURA",221,89,220,210,196,936
"UTTAR PRADESH",1291,1930,2397,531,150,6299
"UTTARANCHAL",8635,1044,3130,12497,220,25526
"WEST BENGAL",21897,27237,2352,2015,280,53781
"DADRA & NAGAR HAVELI",36,8,2,0,0,46
"DELHI",54,0,1,0,0,55
"PONDICHERRY",1013,13743,5384,2,0,20142
"ALL INDIA",275574,149291,78171,106971,32006,642013
