-----
{
 "description": "The table refers to Statewise Distribution of Dugwells according to source of Finance. The report has been sourced from 3rd census of minor irrigation scheme(2000-01) from Ministry of Water Resources.", 
 "file_name": "dgwlNat1.7.csv", 
 "title": "Download CSV for Statewise Distribution of Dugwells according to source of Finance", 
 "url": "http://data.gov.in/sites/default/files/dgwlNat1.7.csv"
}
-----
"State","Government Funds","Farmers saving","Loan and Saving","Subsidy and Bank loan","Others","Total"
"ANDHRA PRADESH",1009902,88164,36437,40562,10151,1185216
"ARUNACHAL PRADESH",0,0,0,4,0,4
"ASSAM",65,12,3,46,28,154
"BIHAR",97104,4843,6138,24751,2341,135177
"CHHATTISGARH",169289,7656,8321,13440,6277,204983
"GOA",3515,288,283,349,681,5116
"GUJ ARAT",800347,45976,42822,15524,30931,935600
"HARYANA",6392,9197,1064,190,1976,18819
"HIMACHAL PRADESH",1458,284,64,28,62,1896
"JAMMU & KASHMIR",1881,213,297,35,92,2518
"JHARKHAND",110291,4137,8812,195497,4818,323555
"KARNATAKA",217439,75905,10263,1919,22457,327983
"KERALA",66739,17885,59815,17275,4242,165956
"MADHYA PRADESH",1066054,115389,48043,24699,22521,1276706
"MAHARASHTRA",1340544,212976,36982,52932,15124,1658558
"MANIPUR",0,0,0,3,0,3
"MEGHALAYA",11,0,0,0,0,11
"NAGALAND",14,21,5,185,58,283
"ORISSA",159610,31038,75525,107463,4743,378379
"PUNJAB",1222,1682,24,3,0,2931
"RAJASTHAN",1008660,109403,21033,10113,22289,1171498
"TAMIL NADU",1553612,49092,20572,12382,20843,1656501
"TRIPURA",101,1,3,146,8,259
"UTTAR PRADESH",88758,23571,5497,5580,997,124403
"UTTARANCHAL",306,196,199,103,33,837
"WEST BENGAL",22461,1234,2320,12639,723,39377
"ANDAMAN & NICOBARS",1,0,7,0,0,8
"DADRA & NAGAR HAVELI",158,98,182,115,19,572
"PONDICHERRY",64,10,3,0,1,78
"ALL INDIA",7725998,799271,384714,535983,171415,9617381
