-----
{
 "description": "The table refers to the state's net domestic product at current prices for the base year 2004-05. The estimate of net state domestic product is arrived at by deducting the consumption of fixed capital from the gross state domestic product for each sector.", 
 "file_name": "JammuKashmirNSDPcurrent_1.csv", 
 "title": "Download CSV for Jammu &amp; Kashmir Net State Domestic Product at factor cost at Current Prices for the base year 2004-05", 
 "url": "http://data.gov.in/sites/default/files/JammuKashmirNSDPcurrent_1.csv"
}
-----
"Sector","2004-05","2005-06","2006-07","2007-08","2008-09","2009-10","2010-11","2011-12","2012-13"
"Agriculture","546706","565823","588908","615093","637092","699287","805019","916557","1035903"
"Foresty and Logging","137999","150348","155553","167803","181210","190910","199528","210358","222369"
"Fishing","13002","14284","15780","16151","18897","20569","21877","23593","24976"
"Ag and Allied","697707","730455","760241","799047","837199","910766","1026424","1150508","1283248"
"Mining and Quarrying","2356","3453","4089","4777","3839","5422","10583","11806","12767"
"Sub total of primary","700063","733908","764330","803824","841038","916188","1037007","1162314","1296015"
"Manufacturing","125725","136552","163490","190204","222458","256182","292357","316147","343033"
"Registered","49373","55312","66928","81137","97031","115914","129859","143285","151808"
"Unregistered","76352","81240","96562","109067","125427","140268","162498","172861","191225"
"Construction","428412","494153","550308","615665","680549","711693","776350","884838","972067"
"Electricity, Gas and water Supply","88733","83132","87230","91434","93942","130739","171602","190124","201746"
"Sub total of secondary","642870","713837","801028","897303","996949","1098614","1240309","1391109","1516845"
"Industry","645226","717290","805117","902080","1000788","1104036","1250892","1402916","1529612"
"Transport Storage and Communication","82556","91080","106473","123875","120879","143488","160931","190312","225793"
"Railways","3470","3769","5290","7524","6425","8983","8753","9053","10051"
"Transport by other means","45882","49952","62611","71356","72649","86890","95634","107796","136177"
"Storage","263","270","295","359","419","513","551","591","608"
"Communication","32941","37089","38277","44636","41386","47102","55993","72872","78957"
"Trade, hotels and restaurants","176321","193651","224617","265340","284737","294812","346079","391688","436524"
"Banking and Insurance","96705","103069","111696","121559","132730","142404","183050","215907","263407"
"Real estate, ownership of dwelling and business","112695","121049","118861","128302","121049","154184","178461","206102","237864"
"Pubic Administration","256423","284568","330942","389945","543563","588929","733325","850821","1014025"
"Other Services","261588","286648","307261","341859","388087","533201","653869","849296","1081876"
"Sub total of tertiary","986288","1080065","1199850","1370879","1591045","1857018","2255716","2704126","3259489"
"State domestic product","2329221","2527810","2765209","3072005","3429032","3871820","4533032","5257550","6072349"

"Figures are in Rs. Lakh"
