-----
{
 "description": "The table refers to the state's net domestic product at current prices for the base year 1993-94. The estimate of net state domestic product is arrived at by deducting the consumption of fixed capital from the gross state domestic product for each sector.", 
 "file_name": "JharkhandNSDPcurrent.csv", 
 "title": "Download CSV for Jharkhand Net State Domestic Product at factor cost at Current Prices for the base year 1993-94", 
 "url": "http://data.gov.in/sites/default/files/JharkhandNSDPcurrent.csv"
}
-----
"Sector","1993-1994","1994-1995","1995-1996","1996-1997","1997-1998","1998-1999","1999-2000","2000-2001","2001-2002","2002-2003","2003-2004","2004-2005"
"Agriculture","304872","339438","337171","411096","445342","501706","669292","392095","664573","689840","755356","827095"
"Foresty and Logging","31153","35499","30751","29252","29024","32104","33964","85832","94005","52392","55507","58808"
"Fishing","17563","14964","22144","23845","23983","26773","28531","16455","38354","20885","6220","9345"
"Mining and Quarrying","207777","227505","218215","274775","333161","325848","267933","356970","346592","443673","482692","525143"
"Sub total of primary","561365","617406","608281","738968","831510","886431","999720","851352","1143524","1206790","1299775","1420391"
"Manufacturing","292632","328971","408589","282718","685725","804844","708399","358049","308774","641866","700825","765281"
"Registered","263312","293849","380629","253246","627006","775459","703493","318435","260903","595855","652452","714424"
"Unregistered","29320","35122","27960","29472","58719","29385","4906","39614","47871","46011","48373","50857"
"Construction","74752","76019","97038","107773","127966","145715","108393","233823","251348","211344","237215","266253"
"Electricity, Gas and water Supply","19122","23745","19746","28021","31689","15808","16989","32832","34960","25574","26414","27281"
"Sub total of secondary","386506","428735","525373","418512","845380","966367","833781","624704","595082","878784","964454","1058815"
"Transport Storage and Communication","57237","68609","69599","75894","89476","100533","109338","133519","151757","165815","186989","210952"
"Railways","29967","36909","36543","36502","43586","38744","34371","58444","68421","72738","80270","88582"
"Transport by other means","19872","21370","21863","27859","32786","44506","48411","53923","57740","64413","73400","83639"
"Storage","540","567","699","758","822","1021","950","1084","2078","2097","2438","2835"
"Communication","6858","9763","10494","10775","12282","16262","25606","20068","23518","26567","30881","35896"
"Trade, hotels and restaurants","157422","171179","180754","213636","241874","339497","331229","254451","276743","321278","347780","376469"
"Banking and Insurance","28197","31742","42722","56798","69627","71968","110843","93995","108788","120181","141187","165865"
"Real estate, ownership of dwelling and business","35152","39675","44207","48221","54539","58993","70006","73940","97161","113849","129729","147825"
"Pubic Administration","44235","50194","52633","60238","71064","100258","109823","156716","204743","139123","158013","179467"
"Other Services","70196","82225","94683","112007","121585","124406","44673","146007","147866","135167","145375","156353"
"Sub total of tertiary","392439","443624","484598","566794","648165","795655","775912","858628","987058","995413","1109073","1236931"
"State domestic product","1340310","1489765","1618252","1724274","2325055","2648453","2609413","2334684","2725664","3080987","3373302","3716137"

"Figures are in Rs. Lakh"
