-----
{
 "description": "Data covers institution-wise and year-wise Institutional Finance (IF) - Export Import Bank of India (EXIM) and India Infrastructure Finance Company Limited (IIFCL).", 
 "file_name": "Performance_of_EXIM_Bank_and_IIFCL.xls", 
 "title": "Download XLS for Institution-wise Snapshot Performance upto 2012-13", 
 "url": "http://data.gov.in/sites/default/files/Performance_of_EXIM_Bank_and_IIFCL.xls"
}
-----
"Details","During the year 2009-10","During the year 2010-11","During the year 2011-12","During the year 2012-13","Cumulative (Till 31st March 2013)"
"No. of Projects assisted*",32.0,37.0,53.0,70.0,299.0
"Project Cost of assisted projects",51680.0,70037.0,81127.0,115198.0,467267.0
"Amount Sanctioned *",5616.0,7402.0,8595.0,11514.0,51887.0
"Amount Disbursed (including Refinance & Takeout Finance)",5095.0,5349.0,5052.0,6205.0,26582.0
"Profit After Tax",154.0,"       296 ",586.0,1047.0,"NA"
"Net Worth (as at 31st Mar of FY)",2086.0,2582.0,3668.0,4858.0,"NA"
