-----
{
 "description": "The table refers to state wise surface lift schemes according to water distribution system. It has been sourced from 2nd census of minor irrigation scheme(1993-94) from Ministry of Water Resources.", 
 "file_name": "Natsrfclfttab5.8_1.csv", 
 "title": "Download CSV for Statewise surface lift Schemes according to water distribution system for 2nd census of minor irrigation schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/Natsrfclfttab5.8_1.csv"
}
-----
State,Sprinkler,Drip irrigation,Open channel,Under ground channel,Others,Total
ANDHRA PRADESH,457,35,12209,4999,1726,19426
ARUNACHAL PRADESH,NA,NA,NA,NA,NA,NA
ASSAM,7,7,8862,13,221,9110
BIHAR,353,111,7490,1049,2063,11066
GOA,40,11,429,157,115,752
GUJARAT,NA,NA,NA,NA,NA,NA
HARYANA,0,2,32,148,0,182
HIMACHAL PRADESH,12,2,299,198,46,557
JAMMU & KASHMIR,7,0,344,0,0,351
KARNATAKA,811,276,15729,11699,3833,32348
KERALA,129,91,6800,2018,2226,11264
MADHYA PRADESH,5048,1834,95406,70338,16249,188875
MAHARASHTRA,NA,NA,NA,NA,NA,NA
MANIPUR,0,0,20,0,0,20
MEGHALAYA,1,1,11,1,1,15
MIZORAM,0,0,11,0,1,12
NAGALAND,0,0,0,0,19,19
ORISSA,178,69,17227,1692,1438,20604
PUNJAB,10,4,670,80,0,764
RAJASTHAN,5,2,193,73,16,289
SIKKIM,NA,NA,NA,NA,NA,NA
TAMIL NADU,1079,66,7614,533,2285,11577
TRIPURA,8,0,479,306,36,829
UTTAR PRADESH,85,36,3147,33,165,3466
WEST BENGAL,2780,491,68600,3558,8216,83645
ANDAMAN & NICOBARS,1,0,49,0,1160,1210
CHANDIGARH,NA,NA,NA,NA,NA,NA
DADRA & NAGAR HAVELI,0,0,53,1,0,54
DAMAN & DIU,NA,NA,NA,NA,NA,NA
DELHI,NA,NA,NA,NA,NA,NA
LAKSHADWEEP,NA,NA,NA,NA,NA,NA
PONDICHERRY,0,0,406,0,0,406
ALL INDIA,11011,3038,246080,96896,39816,396841
