-----
{
 "description": "The table refers to Block wise Culturable Command Area and Potential Created through Surface Lift Schemes. The report has been sourced from 3rd census of minor irrigation scheme (2000-01) from Ministry of Water Resources.", 
 "file_name": "srfcliftdistr5.12.csv", 
 "title": "Download CSV for Blockwise Culturable Command Area and Potential Created through Surface Lift Schemes", 
 "url": "http://data.gov.in/sites/default/files/srfcliftdistr5.12.csv"
}
-----
STATENAME,DISTNAME,BLOCKNAME,Culturable Command Area,Irrigation potential created - Kharif,Irrigation potential created - Rabi,Irrigation potential created - Perennial,Irrigation potential created - Others,Total - Irrigation potential created
ANDAMAN & NICOBARS,ANDAMAN,DIGLIPUR,1258,1254,197,24,12,1487
ANDAMAN & NICOBARS,ANDAMAN,FERRARGUNJ,404,395,151,13,16,574
ANDAMAN & NICOBARS,ANDAMAN,HUT BAY,248,245,60,15,1,321
ANDAMAN & NICOBARS,ANDAMAN,MAYABUNDER,367,353,68,16,6,443
ANDAMAN & NICOBARS,ANDAMAN,PORT BLAIR,574,548,175,41,6,769
ANDAMAN & NICOBARS,ANDAMAN,RANGAT,885,814,202,65,20,1101
ANDAMAN & NICOBARS,NICOBAR,CAMPBELL BAY,86,85,10,1,0,96
ANDAMAN & NICOBARS,NICOBAR,CAR NICOBAR,2,2,1,0,0,3
ANDHRA PRADESH,ADILABAD,ADILABAD,36,45,0,0,0,45
ANDHRA PRADESH,ADILABAD,BOATH,68,68,53,0,0,121
ANDHRA PRADESH,ADILABAD,DANDEPALLE,18,18,0,0,0,18
ANDHRA PRADESH,ADILABAD,GUDIHATHNUR,26,26,2,0,0,28
ANDHRA PRADESH,ADILABAD,ICHODA,4,4,0,0,0,4
ANDHRA PRADESH,ADILABAD,JAINAD,183,182,129,108,0,420
ANDHRA PRADESH,ADILABAD,JANNARAM,2,2,0,0,0,2
ANDHRA PRADESH,ADILABAD,KAGAZ NAGAR,7,7,2,0,0,8
ANDHRA PRADESH,ADILABAD,KASIPET,346,308,96,0,0,404
ANDHRA PRADESH,ADILABAD,KERAMERI,4,4,0,0,0,4
ANDHRA PRADESH,ADILABAD,KUNTALA,32,33,16,0,0,48
ANDHRA PRADESH,ADILABAD,LUXETTIPET,16,16,0,0,0,16
ANDHRA PRADESH,ADILABAD,MANCHERIAL,104,104,28,0,0,133
ANDHRA PRADESH,ADILABAD,MANDAMARRI,143,139,52,0,0,191
ANDHRA PRADESH,ADILABAD,MUDHOLE,365,365,0,0,0,365
ANDHRA PRADESH,ADILABAD,NERADIGONDA,203,203,34,0,0,237
ANDHRA PRADESH,ADILABAD,NIRMAL,42,42,25,0,0,67
ANDHRA PRADESH,ADILABAD,TALAMADUGU,237,237,227,0,0,464
ANDHRA PRADESH,ANANTHAPUR,GOOTY,86,86,86,0,0,172
