-----
{
 "description": "The table refers to block wise culturable command area and irrigation potential created through surace lift schemes. It has been sourced from 2nd census of minor irrigation scheme(1993-94) from Ministry of Water Resources.", 
 "file_name": "srfclftblck5.13.csv", 
 "title": "Download CSV for Blockwise Culturable command area and potential created through surface lift schemes for 2nd census of minor irrigation schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/srfclftblck5.13.csv"
}
-----
-----
{
 "description": "The table refers to block wise culturable command area and irrigation potential created through surace lift schemes. It has been sourced from 2nd census of minor irrigation scheme(1993-94) from Ministry of Water Resources.", 
 "file_name": "srfclftblck5.13.csv", 
 "title": "Download CSV for Blockwise Culturable command area and potential created through surface lift schemes for 2nd census of minor irrigation schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/srfclftblck5.13.csv"
}
-----
"State","District","Block","Culturable Command Area","Irrigation potential created - Kharif","Irrigation potential created - Rabi","Irrigation potential created - Perennial","Irrigation potential created - Others","Total"
"ANDHRA PRADESH","ADILABAD","ADILABAD",105,38,67,0,0,105
"ANDHRA PRADESH","ADILABAD","ASIFABAD",75,75,0,0,0,75
"ANDHRA PRADESH","ADILABAD","BAZARHATHNOOR",23,14,19,0,0,33
"ANDHRA PRADESH","ADILABAD","BELA",63,0,63,0,0,63
"ANDHRA PRADESH","ADILABAD","BHAINSA",134,134,6,0,0,140
"ANDHRA PRADESH","ADILABAD","BOATH",166,160,89,14,1,264
"ANDHRA PRADESH","ADILABAD","CHENNUR",56,56,0,0,0,56
"ANDHRA PRADESH","ADILABAD","DANDEPALLE",208,182,110,0,0,292
"ANDHRA PRADESH","ADILABAD","DILAWARPUR",163,163,0,0,0,163
"ANDHRA PRADESH","ADILABAD","INDERAVELLY",34,34,0,0,0,34
"ANDHRA PRADESH","ADILABAD","JAINAD",274,273,52,0,0,325
"ANDHRA PRADESH","ADILABAD","JAINOOR",3,1,2,0,0,3
"ANDHRA PRADESH","ADILABAD","KADDAM (PEDDUR)",48,48,29,0,0,77
"ANDHRA PRADESH","ADILABAD","KAGAZNAGAR",6,6,2,0,0,8
"ANDHRA PRADESH","ADILABAD","KASIPET",168,154,36,0,0,190
"ANDHRA PRADESH","ADILABAD","KERAMERI",6,2,4,0,0,6
"ANDHRA PRADESH","ADILABAD","KHANPUR",64,64,0,0,0,64
