-----
{
 "description": "The table refers to Block wise Distribution of Surface Lift Schemes according to source of Finance. The report has been sourced from 3rd census of minor irrigation scheme (2000-01) from Ministry of Water Resources.", 
 "file_name": "srfcliftdistr5.7.csv", 
 "title": "Download CSV for Blockwise Distribution of Surface Lift Schemes according to source of Finance", 
 "url": "http://data.gov.in/sites/default/files/srfcliftdistr5.7.csv"
}
-----
STATENAME,DISTNAME,BLOCKNAME,Farmer's saving,Loan & Savings,Subsidy & Bank loan,Others,Total
ANDHRA PRADESH,EAST GODAVARI,BICCAVOLU,0,0,0,2,2
ANDHRA PRADESH,EAST GODAVARI,GOLLAPROLU,6,1,0,0,7
ANDHRA PRADESH,EAST GODAVARI,KADIAM,0,0,0,1,1
ANDHRA PRADESH,EAST GODAVARI,KAJULURU,0,0,0,2,2
ANDHRA PRADESH,EAST GODAVARI,KAKINADA (RURAL),10,0,0,0,10
ANDHRA PRADESH,EAST GODAVARI,KAPILESWARAPURAM,16,0,0,0,16
ANDHRA PRADESH,EAST GODAVARI,KARAPA,8,0,2,0,10
ANDHRA PRADESH,EAST GODAVARI,KIRLAMPUDI,0,0,0,1,1
ANDHRA PRADESH,EAST GODAVARI,PEDAPUDI,0,0,2,0,2
ANDHRA PRADESH,EAST GODAVARI,RAJAHMUNDRY(RURAL),0,0,0,3,3
ANDHRA PRADESH,EAST GODAVARI,THALLAREVU,1,0,1,0,2
ANDHRA PRADESH,EAST GODAVARI,Y RAMAVARAM,0,0,1,0,1
ANDHRA PRADESH,GUNTUR,ACHAMPETA,31,14,1,2,48
ANDHRA PRADESH,GUNTUR,AMARAVATHI,49,1,8,0,58
ANDHRA PRADESH,GUNTUR,BAPATLA,48,3,1,0,52
ANDHRA PRADESH,GUNTUR,BELLAMKONDA,12,0,0,0,12
ANDHRA PRADESH,GUNTUR,BHATTIPROLU,0,18,10,0,28
ANDHRA PRADESH,GUNTUR,BOLLAPALLE,0,0,0,1,1
ANDHRA PRADESH,GUNTUR,CHEBROLE,1,0,0,3,4
ANDHRA PRADESH,GUNTUR,CHERUKUPALLE,17,44,0,0,61
ANDHRA PRADESH,GUNTUR,CHILAKALURIPET,50,0,5,2,57
ANDHRA PRADESH,GUNTUR,DACHEPALLE,87,0,3,0,90
ANDHRA PRADESH,GUNTUR,EDLAPADU,42,27,0,0,69
ANDHRA PRADESH,GUNTUR,GUNTUR,0,0,1,0,1
ANDHRA PRADESH,GUNTUR,IPURU,1,1,0,0,2
ANDHRA PRADESH,GUNTUR,KAKUMANU,0,6,0,0,6
ANDHRA PRADESH,GUNTUR,KARLAPALEM,7,16,3,1,27
ANDHRA PRADESH,GUNTUR,KOLLUR,0,25,0,0,25
ANDHRA PRADESH,GUNTUR,KROSURU,100,1,0,4,105
ANDHRA PRADESH,GUNTUR,MACHAVARAM,0,0,2,1,3
ANDHRA PRADESH,GUNTUR,MACHERLA,3,0,1,0,4
ANDHRA PRADESH,GUNTUR,MANGALAGIRI,1,1,1,2,5
ANDHRA PRADESH,GUNTUR,MUPPALLA,0,0,19,1,20
ANDHRA PRADESH,GUNTUR,NADENDLA,3,10,9,2,24
ANDHRA PRADESH,GUNTUR,NAGARAM,40,25,5,0,70
ANDHRA PRADESH,GUNTUR,NARASARAOPETA,29,0,5,0,34
ANDHRA PRADESH,GUNTUR,NIZAMPATNAM,28,0,4,0,32
ANDHRA PRADESH,GUNTUR,NUZENDLA,89,0,1,0,90
ANDHRA PRADESH,GUNTUR,PEDAKAKANI,0,0,0,2,2
ANDHRA PRADESH,GUNTUR,PEDAKURAPADU,9,0,2,0,11
ANDHRA PRADESH,GUNTUR,PEDANANDIPADU,6,1,1,0,8
ANDHRA PRADESH,GUNTUR,PHIRANGIPURAM,1,0,1,0,2
ANDHRA PRADESH,GUNTUR,PITTALAVANIPALEM,2,15,3,0,20
ANDHRA PRADESH,GUNTUR,PONNUR,38,0,15,0,53
ANDHRA PRADESH,GUNTUR,RAJUPALEM,1,21,16,15,53
ANDHRA PRADESH,GUNTUR,REPALLE,10,47,0,0,57
ANDHRA PRADESH,GUNTUR,SATTENAPALLE,66,35,1,3,105
ANDHRA PRADESH,GUNTUR,SAVALYAPURAM,31,0,2,0,33
ANDHRA PRADESH,GUNTUR,TADIKONDA,0,0,3,0,3
ANDHRA PRADESH,GUNTUR,THADEPALLE,6,62,6,0,74
ANDHRA PRADESH,GUNTUR,VATTICHERUKURU,0,2,0,1,3
ANDHRA PRADESH,GUNTUR,VEMURU,12,7,0,0,19
ANDHRA PRADESH,GUNTUR,VINUKONDA,171,3,5,0,179
ANDHRA PRADESH,KARIMNAGAR,CHIGURUMAMIDI,0,0,3,0,3
ANDHRA PRADESH,KARIMNAGAR,ELEGADE,0,36,0,0,36
ANDHRA PRADESH,KARIMNAGAR,GAMBHIRAOPET,37,0,0,0,37
ANDHRA PRADESH,KARIMNAGAR,JULAPALLE,32,0,0,0,32
ANDHRA PRADESH,KARIMNAGAR,KAMANPUR,116,0,0,0,116
ANDHRA PRADESH,KARIMNAGAR,MALHARRAO,0,0,2,0,2
ANDHRA PRADESH,KARIMNAGAR,MANTHANI,3,0,4,2,9
ANDHRA PRADESH,KARIMNAGAR,MUTHARAM MANTHANI,66,0,1,0,67
ANDHRA PRADESH,KARIMNAGAR,ODELA,11,9,0,0,20
ANDHRA PRADESH,KARIMNAGAR,SRIRAMPUR,27,0,0,0,27
ANDHRA PRADESH,KARIMNAGAR,SULTANABAD,12,12,0,0,24
ANDHRA PRADESH,KARIMNAGAR,THIMMAPUR,5,0,2,5,12
ANDHRA PRADESH,KARIMNAGAR,VELGATOOR,58,0,0,0,58
ANDHRA PRADESH,KARIMNAGAR,YELLA REDDI PETA,28,0,0,0,28
ANDHRA PRADESH,KHAMMAM,ASWAPURAM,52,23,0,4,79
ANDHRA PRADESH,KHAMMAM,ASWARAOPETA,13,0,57,7,77
ANDHRA PRADESH,KHAMMAM,BAYYARAM,14,5,11,0,30
ANDHRA PRADESH,KHAMMAM,BHADRACHALAM,50,1,2,2,55
ANDHRA PRADESH,KHAMMAM,BONAKAL,95,25,23,0,143
ANDHRA PRADESH,KHAMMAM,BURGAMPADU,95,6,6,0,107
ANDHRA PRADESH,KHAMMAM,CHANDRUGONDA,0,0,0,1,1
ANDHRA PRADESH,KHAMMAM,CHERLA,4,0,2,1,7
ANDHRA PRADESH,KHAMMAM,CHINTHAKANI,1,0,2,1,4
ANDHRA PRADESH,KHAMMAM,CHINTUR,104,2,0,128,234
ANDHRA PRADESH,KHAMMAM,DUMMUGUDEM,31,0,0,0,31
ANDHRA PRADESH,KHAMMAM,ENKURU,0,0,0,60,60
ANDHRA PRADESH,KHAMMAM,GARLA,80,0,0,1,81
ANDHRA PRADESH,KHAMMAM,GUNDALA,1,3,2,0,6
ANDHRA PRADESH,KHAMMAM,KALLURU,87,0,0,8,95
ANDHRA PRADESH,KHAMMAM,KHAMMAM RURAL,274,0,4,2,280
ANDHRA PRADESH,KHAMMAM,KHAMMAM URBAN,78,6,1,0,85
ANDHRA PRADESH,KHAMMAM,KONIJERLA,3,0,0,0,3
ANDHRA PRADESH,KHAMMAM,KOTHAGUDEM,211,39,26,87,363
ANDHRA PRADESH,KHAMMAM,KUKUNOOR,193,0,0,0,193
ANDHRA PRADESH,KHAMMAM,KUNAVARAM,64,0,37,33,134
ANDHRA PRADESH,KHAMMAM,KUSUMANCHI,0,0,0,2,2
ANDHRA PRADESH,KHAMMAM,MADHIRA,204,14,2,1,221
ANDHRA PRADESH,KHAMMAM,MUDIGONDA,1,0,6,5,12
ANDHRA PRADESH,KHAMMAM,MULAKALAPALLE,180,0,7,7,194
ANDHRA PRADESH,KHAMMAM,NELAKONDAPALLE,0,0,6,1,7
ANDHRA PRADESH,KHAMMAM,PALAWANCHA,262,19,21,0,302
ANDHRA PRADESH,KHAMMAM,PENUBALLI,27,18,16,1,62
ANDHRA PRADESH,KHAMMAM,SATHUPALLE,37,0,1,15,53
ANDHRA PRADESH,KHAMMAM,SINGARENI,18,0,11,0,29
ANDHRA PRADESH,KHAMMAM,TEKULAPALLE,134,11,44,17,206
ANDHRA PRADESH,KHAMMAM,THALLADA,260,0,8,1,269
ANDHRA PRADESH,KHAMMAM,THIRUMALAYAPALEM,0,0,2,0,2
ANDHRA PRADESH,KHAMMAM,VARARAMACHANDRAPURAM,144,0,0,124,268
ANDHRA PRADESH,KHAMMAM,VELAIRPAD,35,42,16,0,93
ANDHRA PRADESH,KHAMMAM,VEMSOOR,5,0,3,3,11
ANDHRA PRADESH,KHAMMAM,VENKATAPURAM,230,0,0,0,230
ANDHRA PRADESH,KHAMMAM,WAZEED,3,0,3,6,12
ANDHRA PRADESH,KHAMMAM,WYRA,96,27,7,1,131
ANDHRA PRADESH,KHAMMAM,YELLANDU,8,0,0,0,8
ANDHRA PRADESH,KHAMMAM,YERRUPALEM,32,0,2,2,36
ANDHRA PRADESH,KRISHNA,AGIRIPALLE,0,0,0,2,2
ANDHRA PRADESH,KRISHNA,BAPULAPADU,3,9,1,0,13
ANDHRA PRADESH,KRISHNA,CHANDARLAPADU,1,0,0,6,7
ANDHRA PRADESH,KRISHNA,CHATRAI,0,0,1,0,1
ANDHRA PRADESH,KRISHNA,G KONDURU,0,0,0,1,1
ANDHRA PRADESH,KRISHNA,GAMPALAGUDEM,0,0,0,5,5
ANDHRA PRADESH,KRISHNA,GANNAVARAM,3,0,1,2,6
ANDHRA PRADESH,KRISHNA,IBRAHIMPATNAM,1,0,0,3,4
ANDHRA PRADESH,KRISHNA,JAGGAYYAPETA,8,0,3,2,13
ANDHRA PRADESH,KRISHNA,KAIKALUR,7,0,1,2,10
ANDHRA PRADESH,KRISHNA,KALIDINDI,1,1,0,5,7
ANDHRA PRADESH,KRISHNA,KANCHIKA CHERLA,2,0,1,0,3
ANDHRA PRADESH,KRISHNA,MUSUNURU,0,0,0,1,1
ANDHRA PRADESH,KRISHNA,NAGAYALANKA,1,0,0,0,1
ANDHRA PRADESH,KRISHNA,NANDIGAMA,3,1,0,2,6
ANDHRA PRADESH,KRISHNA,NANDIVADA,0,1,0,0,1
ANDHRA PRADESH,KRISHNA,PEDANA,0,0,0,1,1
ANDHRA PRADESH,KRISHNA,PEDAPARUPUDI,0,0,2,0,2
ANDHRA PRADESH,KRISHNA,PENAMALURU,2,0,0,2,4
ANDHRA PRADESH,KRISHNA,PENUGANCHIPROLU,1,0,0,0,1
ANDHRA PRADESH,KRISHNA,REDDIGUDEM,0,0,0,1,1
ANDHRA PRADESH,KRISHNA,TIRUVURU,1,0,1,0,2
ANDHRA PRADESH,KRISHNA,UNGUTURU,0,1,0,3,4
ANDHRA PRADESH,KRISHNA,VATSAVAI,3,0,0,0,3
ANDHRA PRADESH,KRISHNA,VEERULLAPADU,3,0,2,1,6
ANDHRA PRADESH,KRISHNA,VISSANNAPET,0,0,1,0,1
ANDHRA PRADESH,KURNOOL,ADONI,95,0,10,0,105
ANDHRA PRADESH,KURNOOL,BANAGANAPALLE,0,0,0,1,1
ANDHRA PRADESH,KURNOOL,BANDI ATMAKUR,205,3,0,0,208
ANDHRA PRADESH,KURNOOL,C.BELAGAL,184,0,0,0,184
ANDHRA PRADESH,KURNOOL,DORNIPADU,24,0,1,0,25
ANDHRA PRADESH,KURNOOL,GOSPADU,93,1,0,0,94
ANDHRA PRADESH,KURNOOL,HALAHARVI,46,0,0,4,50
ANDHRA PRADESH,KURNOOL,HOLAGUNDA,73,0,0,2,75
ANDHRA PRADESH,KURNOOL,KOILKUNTLA,332,7,3,0,342
ANDHRA PRADESH,KURNOOL,KOTHAPALLE,16,0,0,0,16
ANDHRA PRADESH,KURNOOL,KOWTHALAM,60,1,0,0,61
ANDHRA PRADESH,KURNOOL,MAHANANDI,2,1,5,0,8
ANDHRA PRADESH,KURNOOL,MANTRALAYAM,158,0,0,0,158
ANDHRA PRADESH,KURNOOL,NANDAVARAM,212,5,0,14,231
ANDHRA PRADESH,KURNOOL,NANDYAL,140,9,0,0,149
ANDHRA PRADESH,KURNOOL,PANYAM,87,0,0,0,87
ANDHRA PRADESH,KURNOOL,UYYALAWADA,349,0,0,6,355
ANDHRA PRADESH,MAHABOOBNAGAR,AIZA,89,0,0,1,90
ANDHRA PRADESH,MAHABOOBNAGAR,ATMAKUR,113,94,1,8,216
ANDHRA PRADESH,MAHABOOBNAGAR,GADWAL,196,0,0,0,196
ANDHRA PRADESH,MAHABOOBNAGAR,ITIKYAL,26,0,0,0,26
ANDHRA PRADESH,MAHABOOBNAGAR,MAGANOOR,0,0,0,7,7
ANDHRA PRADESH,MAHABOOBNAGAR,MAKTHAL,0,0,2,0,2
ANDHRA PRADESH,MAHABOOBNAGAR,MANOPADU,472,0,1,7,480
ANDHRA PRADESH,MAHABOOBNAGAR,UTKOOR,0,0,26,0,26
ANDHRA PRADESH,MAHABOOBNAGAR,VEEPANGANDLA,0,0,0,2,2
ANDHRA PRADESH,MAHABOOBNAGAR,WADDEPALLE,121,135,22,56,334
ANDHRA PRADESH,MEDAK,ANDOLE,79,36,0,0,115
ANDHRA PRADESH,MEDAK,KOWDIPALLE,42,35,0,0,77
ANDHRA PRADESH,MEDAK,KULCHARAM,157,0,0,0,157
ANDHRA PRADESH,MEDAK,MANOOR,31,0,0,0,31
ANDHRA PRADESH,MEDAK,PAPANNAPET,38,175,0,0,213
ANDHRA PRADESH,MEDAK,PULKAL,65,48,0,0,113
ANDHRA PRADESH,MEDAK,SADASIVPET,1,3,0,0,4
ANDHRA PRADESH,MEDAK,SHANKARAMPET (A),277,0,0,0,277
ANDHRA PRADESH,NALGONDA,ANUMULA,0,0,0,7,7
ANDHRA PRADESH,NALGONDA,CHILKUR,133,0,1,0,134
ANDHRA PRADESH,NALGONDA,DAMERACHERLA,103,474,369,0,946
ANDHRA PRADESH,NALGONDA,GARIDE PALLE,399,1,4,1,405
ANDHRA PRADESH,NALGONDA,HUZURNAGAR,308,2,1,0,311
ANDHRA PRADESH,NALGONDA,KETHEPALLE,0,0,0,1,1
ANDHRA PRADESH,NALGONDA,KODAD,730,0,0,6,736
ANDHRA PRADESH,NALGONDA,MATTAMPALLE,255,24,56,0,335
ANDHRA PRADESH,NALGONDA,MELLACHERVU,209,15,0,0,224
ANDHRA PRADESH,NALGONDA,MIRYALAGUDA,433,0,2,7,442
ANDHRA PRADESH,NALGONDA,MOTHEY,0,0,0,1,1
ANDHRA PRADESH,NALGONDA,MUNAGALA,2,0,0,0,2
ANDHRA PRADESH,NALGONDA,NADIGUDEM,23,84,1,3,111
ANDHRA PRADESH,NALGONDA,NERED CHERLA,248,0,2,0,250
ANDHRA PRADESH,NALGONDA,NIDAMANUR,4,0,0,7,11
ANDHRA PRADESH,NALGONDA,PEDDAVURA,0,0,33,420,453
ANDHRA PRADESH,NALGONDA,PENPAHAD,4,2,5,8,19
ANDHRA PRADESH,NALGONDA,RAMANNAPETA,6,0,0,0,6
ANDHRA PRADESH,NALGONDA,THRIPURARAM,10,0,3,3,16
ANDHRA PRADESH,NALGONDA,VEMULAPALLE,7,0,5,1,13
ANDHRA PRADESH,NELLORE,ALLUR,52,0,5,8,65
ANDHRA PRADESH,NELLORE,ANANTHASAGARAM,8,0,10,0,18
ANDHRA PRADESH,NELLORE,ATMAKUR,50,0,2,3,55
ANDHRA PRADESH,NELLORE,BALAYAPALLE,261,2,21,5,289
ANDHRA PRADESH,NELLORE,BUTCHIREDDIPALEM,23,0,1,0,24
ANDHRA PRADESH,NELLORE,CHEJERLA,81,0,5,0,86
ANDHRA PRADESH,NELLORE,CHILLAKUR,117,0,0,1,118
ANDHRA PRADESH,NELLORE,CHITTAMUR,0,0,0,1,1
ANDHRA PRADESH,NELLORE,DAGADARTHI,1,0,0,3,4
ANDHRA PRADESH,NELLORE,DAKKILI,248,9,4,0,261
ANDHRA PRADESH,NELLORE,DUTTALUR,45,1,2,2,50
ANDHRA PRADESH,NELLORE,GUDUR,0,7,0,0,7
ANDHRA PRADESH,NELLORE,KALIGIRI,1,0,0,0,1
ANDHRA PRADESH,NELLORE,KALUVOYA,56,0,4,0,60
ANDHRA PRADESH,NELLORE,KAVALI,33,0,0,0,33
ANDHRA PRADESH,NELLORE,KONDAPURAM,39,1,25,0,65
ANDHRA PRADESH,NELLORE,MANUBOLU,4,0,0,0,4
ANDHRA PRADESH,NELLORE,MARRIPADU,97,4,0,0,101
ANDHRA PRADESH,NELLORE,NELLORE,65,44,3,8,120
ANDHRA PRADESH,NELLORE,PODLAKUR,476,29,39,1,545
ANDHRA PRADESH,NELLORE,RAPUR,46,0,1,5,52
ANDHRA PRADESH,NELLORE,SANGAM,222,0,0,0,222
ANDHRA PRADESH,NELLORE,SULLURPETA,31,0,0,13,44
ANDHRA PRADESH,NELLORE,SYDAPURAM,113,13,1,0,127
ANDHRA PRADESH,NELLORE,TADA,76,2,0,62,140
ANDHRA PRADESH,NELLORE,VARIKUNTAPADU,99,0,0,0,99
ANDHRA PRADESH,NELLORE,VENKATACHALAM,57,4,5,2,68
ANDHRA PRADESH,NELLORE,VENKATAGIRI,94,0,1,0,95
ANDHRA PRADESH,NELLORE,VIDAVALUR,21,0,0,1,22
ANDHRA PRADESH,NELLORE,VINJAMUR,40,0,0,0,40
ANDHRA PRADESH,NIZAMABAD,BANSWADA,162,53,5,1,221
ANDHRA PRADESH,NIZAMABAD,BICHKUNDA,96,24,2,0,122
ANDHRA PRADESH,NIZAMABAD,BIRKOOR,140,1,7,1,149
ANDHRA PRADESH,NIZAMABAD,BODHAN,54,1,0,0,55
ANDHRA PRADESH,NIZAMABAD,JUKKAL,0,8,0,0,8
ANDHRA PRADESH,NIZAMABAD,KOTGIRI,42,4,0,61,107
ANDHRA PRADESH,NIZAMABAD,LINGAMPET,68,0,0,0,68
ANDHRA PRADESH,NIZAMABAD,MADNUR,0,2,1,0,3
ANDHRA PRADESH,NIZAMABAD,MORTAD,22,55,0,1,78
ANDHRA PRADESH,NIZAMABAD,NAGA REDDIPET,132,14,0,0,146
ANDHRA PRADESH,NIZAMABAD,NIZAM SAGAR,270,40,14,2,326
ANDHRA PRADESH,NIZAMABAD,PITLAM,294,44,1,1,340
ANDHRA PRADESH,NIZAMABAD,YELLAREDDY,158,2,0,0,160
ANDHRA PRADESH,PRAKASAM,ADDANKI,41,27,3,1,72
ANDHRA PRADESH,PRAKASAM,ARDHAVEEDU,12,0,0,0,12
ANDHRA PRADESH,PRAKASAM,BALLIKURUVA,2,6,0,2,10
ANDHRA PRADESH,PRAKASAM,CHADRASEKARAPURAM,0,75,8,1,84
ANDHRA PRADESH,PRAKASAM,CHIMAKURTHI,9,0,1,0,10
ANDHRA PRADESH,PRAKASAM,CHINAGANJAM,14,0,7,0,21
ANDHRA PRADESH,PRAKASAM,CHIRALA,12,0,0,2,14
ANDHRA PRADESH,PRAKASAM,INKOLLU,17,6,0,0,23
ANDHRA PRADESH,PRAKASAM,JANAKAVARAMPANGULURU,35,0,3,0,38
ANDHRA PRADESH,PRAKASAM,KANDUKUR,0,0,0,8,8
ANDHRA PRADESH,PRAKASAM,KANIGIRI,3,0,0,0,3
ANDHRA PRADESH,PRAKASAM,KARAMCHEDU,39,0,6,2,47
ANDHRA PRADESH,PRAKASAM,KONAKANAMITLA,14,2,0,0,16
ANDHRA PRADESH,PRAKASAM,KONDAPI,15,0,31,0,46
ANDHRA PRADESH,PRAKASAM,KORISAPADU,0,21,0,0,21
ANDHRA PRADESH,PRAKASAM,KOTHAPATNAM,6,1,2,0,9
ANDHRA PRADESH,PRAKASAM,KURICHEDU,0,0,0,1,1
ANDHRA PRADESH,PRAKASAM,LINGASAMUDRAM,9,0,1,0,10
ANDHRA PRADESH,PRAKASAM,MADDIPADU,112,2,17,0,131
ANDHRA PRADESH,PRAKASAM,MARKAPUR,1,0,0,0,1
ANDHRA PRADESH,PRAKASAM,MARTUR,44,0,1,11,56
ANDHRA PRADESH,PRAKASAM,MUNDLAMURU,8,1,0,15,24
ANDHRA PRADESH,PRAKASAM,NAGULUPPALAPADU,2,6,17,0,25
ANDHRA PRADESH,PRAKASAM,ONGOLE,11,4,11,0,26
ANDHRA PRADESH,PRAKASAM,PAMUR,37,1,0,0,38
ANDHRA PRADESH,PRAKASAM,PARCHUR,43,0,0,3,46
ANDHRA PRADESH,PRAKASAM,PEDACHERLOPALLE,272,1,1,0,274
ANDHRA PRADESH,PRAKASAM,PODILI,10,2,0,0,12
ANDHRA PRADESH,PRAKASAM,PONNALURU,10,0,10,0,20
ANDHRA PRADESH,PRAKASAM,SANTHAMAGULURU,9,0,0,1,10
ANDHRA PRADESH,PRAKASAM,SANTHANUTHLAPADU,34,4,15,8,61
ANDHRA PRADESH,PRAKASAM,SINGARAYAKONDA,0,0,0,2,2
ANDHRA PRADESH,PRAKASAM,TANGUTUR,31,14,12,2,59
ANDHRA PRADESH,PRAKASAM,THALLUR,1,0,1,0,2
ANDHRA PRADESH,PRAKASAM,TRIPURANTHAKAM,4,0,0,0,4
ANDHRA PRADESH,PRAKASAM,ULAVAPADU,1,0,0,0,1
ANDHRA PRADESH,PRAKASAM,VETAPALEM,2,0,0,0,2
ANDHRA PRADESH,PRAKASAM,VOLETIVARIPALEM,0,0,2,0,2
ANDHRA PRADESH,PRAKASAM,YEDDANAPUDI,71,4,4,1,80
ANDHRA PRADESH,PRAKASAM,ZARUGUMILLI,13,0,3,12,28
ANDHRA PRADESH,RANGAREDDY,BASHEERABAD,1,0,2,0,3
ANDHRA PRADESH,RANGAREDDY,GHATKESAR,122,8,0,3,133
ANDHRA PRADESH,RANGAREDDY,MARPALLE,52,0,0,5,57
ANDHRA PRADESH,RANGAREDDY,TANDUR,24,0,0,0,24
ANDHRA PRADESH,RANGAREDDY,UPPAL,55,0,0,0,55
ANDHRA PRADESH,SRIKAKULAM,BHAMINI,0,0,0,1,1
ANDHRA PRADESH,SRIKAKULAM,ETCHERLA,1,0,5,0,6
ANDHRA PRADESH,SRIKAKULAM,GARA,1,0,0,0,1
ANDHRA PRADESH,SRIKAKULAM,KOTHURU,0,0,0,2,2
ANDHRA PRADESH,SRIKAKULAM,L.N.PETA,0,0,1,0,1
ANDHRA PRADESH,SRIKAKULAM,MANDASA,0,0,0,1,1
ANDHRA PRADESH,SRIKAKULAM,MEILAPUTTI,1,0,0,0,1
ANDHRA PRADESH,SRIKAKULAM,PALAKONDA,1,0,0,0,1
ANDHRA PRADESH,SRIKAKULAM,PATHAPATNAM,1,0,0,0,1
ANDHRA PRADESH,SRIKAKULAM,REGIDIAMADALAVALASA,1,0,1,0,2
ANDHRA PRADESH,SRIKAKULAM,SARAVAKOTA,2,0,0,0,2
ANDHRA PRADESH,SRIKAKULAM,SARUBUJJILI,1,0,0,0,1
ANDHRA PRADESH,SRIKAKULAM,SEETHAMPETA,1,0,0,5,6
ANDHRA PRADESH,SRIKAKULAM,SOMPETA,2,0,0,0,2
ANDHRA PRADESH,SRIKAKULAM,SRIKAKULAM,2,0,0,0,2
ANDHRA PRADESH,SRIKAKULAM,VANGARA,3,0,0,0,3
ANDHRA PRADESH,VISAKHAPATNAM,ANAKAPALLI,0,0,1,0,1
ANDHRA PRADESH,VISAKHAPATNAM,ARAKU VALLEY,0,0,0,3,3
ANDHRA PRADESH,VISAKHAPATNAM,BUTCHAYYAPETA,1,0,0,1,2
ANDHRA PRADESH,VISAKHAPATNAM,CHODAVARAM,0,0,0,1,1
ANDHRA PRADESH,VISAKHAPATNAM,DEVARAPALLE,0,0,3,0,3
ANDHRA PRADESH,VISAKHAPATNAM,DUMBRIGUDA,2,0,0,1,3
ANDHRA PRADESH,VISAKHAPATNAM,HUKUMPETA,0,0,0,9,9
ANDHRA PRADESH,VISAKHAPATNAM,MADUGULA,2,0,0,1,3
ANDHRA PRADESH,VISAKHAPATNAM,MUNAGAPAKA,25,0,0,0,25
ANDHRA PRADESH,VISAKHAPATNAM,PADERU,0,1,0,2,3
ANDHRA PRADESH,VISAKHAPATNAM,PENDURTHI,1,0,0,0,1
ANDHRA PRADESH,VIZIANAGARAM,BOBBILI,8,0,2,0,10
ANDHRA PRADESH,VIZIANAGARAM,DENKADA,0,0,0,2,2
ANDHRA PRADESH,VIZIANAGARAM,GUMMALAKSHMIPURAM,5,0,0,0,5
ANDHRA PRADESH,VIZIANAGARAM,KURUPAM,0,0,3,1,4
