-----
{
 "description": "The table refers to District wise Distribution of Deep Tubewells by Status. The report has been sourced from 3rd census of minor irrigation scheme(2000-01) from Ministry of Water Resources.", 
 "file_name": "dptbwlstate3.5.csv", 
 "title": "Download CSV for Districtwise Distribution of Deep Tubewells by Status", 
 "url": "http://data.gov.in/sites/default/files/dptbwlstate3.5.csv"
}
-----
"State","District","In use","Not in use - Temporarily","Not in use - Salinity","Not in use - Dried up","Not in use - Destroyed","Not in use - Others","Total - Not in use","Grand total ( Use  + Not in use)"
"ANDHRA PRADESH","ADILABAD",57,3,0,1,7,0,11,68
"ANDHRA PRADESH","ANANTHAPUR",560,1,0,0,0,0,1,561
"ANDHRA PRADESH","CHITTOOR",28270,408,104,82,69,0,663,28933
"ANDHRA PRADESH","CUDDAPAH",19707,316,57,181,19,0,573,20280
"ANDHRA PRADESH","EAST GODAVARI",3999,28,30,14,16,0,88,4087
"ANDHRA PRADESH","GUNTUR",2346,45,63,0,0,0,108,2454
"ANDHRA PRADESH","KARIMNAGAR",306,12,4,11,5,0,32,338
"ANDHRA PRADESH","KHAMMAM",1105,4,0,0,3,0,7,1112
"ANDHRA PRADESH","KRISHNA",925,20,1,0,9,0,30,955
"ANDHRA PRADESH","KURNOOL",2553,9,12,1,2,0,24,2577
"ANDHRA PRADESH","MEDAK",532,2,1,4,0,0,7,539
"ANDHRA PRADESH","NALGONDA",62,0,0,0,0,0,0,62
"ANDHRA PRADESH","NELLORE",269,61,3,0,0,0,64,333
"ANDHRA PRADESH","NIZAMABAD",10,0,0,0,0,0,0,10
"ANDHRA PRADESH","PRAKASAM",1668,20,0,6,0,0,26,1694
"ANDHRA PRADESH","RANGAREDDY",1512,26,1,5,9,0,41,1553
"ANDHRA PRADESH","SRIKAKULAM",55,0,0,0,2,0,2,57
"ANDHRA PRADESH","VISAKHAPATNAM",3,0,1,0,4,0,5,8
"ANDHRA PRADESH","WARANGAL",742,3,38,4,0,0,45,787
"ANDHRA PRADESH","WEST GODAVARI",20920,96,11,40,7,0,154,21074
"ARUNACHAL PRADESH","PAPUMPARE",1,1,0,0,1,0,2,3
"ASSAM","BARPETA",10,0,0,1,0,0,1,11
"ASSAM","BONGAIGAON",4,10,0,3,0,0,13,17
"ASSAM","CACHAR",1,1,0,0,0,0,1,2
"ASSAM","DARRANG",73,56,0,1,1,0,58,131
"ASSAM","DHEMAJI",7,8,0,0,0,0,8,15
"ASSAM","DHUBRI",11,3,0,0,2,0,5,16
"ASSAM","DIBRUGARH",9,0,0,0,0,0,0,9
"ASSAM","GOALPARA",13,12,0,3,0,1,16,29
"ASSAM","GOLAGHAT",8,8,0,2,0,0,10,18
"ASSAM","HAILAKANDI",0,7,0,0,0,0,7,7
"ASSAM","JORHAT",65,25,1,0,1,9,36,101
"ASSAM","KAMRUP",22,8,2,1,0,0,11,33
"ASSAM","KARBIANGLONG",3,0,0,0,0,0,0,3
"ASSAM","KARIMGANJ",9,2,0,0,0,0,2,11
"ASSAM","KOKRAJHAR",2,1,0,1,0,0,2,4
"ASSAM","LAKHIMPUR",29,52,3,8,3,0,66,95
"ASSAM","MORIGAON",4,4,1,0,0,0,5,9
"ASSAM","NAGOAN",18,3,0,0,1,0,4,22
"ASSAM","NALBARI",6,32,1,1,1,3,38,44
"ASSAM","NC HILLS",1,0,0,0,0,0,0,1
"ASSAM","SIBSAGAR",14,7,0,0,0,0,7,21
"ASSAM","SONITPUR",7,0,0,1,0,0,1,8
"ASSAM","TINSUKIA",11,139,0,0,3,0,142,153
"BIHAR","AURANGABAD",50,17,5,10,14,0,46,96
"BIHAR","BANKA",1,0,0,0,2,0,2,3
"BIHAR","BEGUSARAI",64,106,16,22,44,0,188,252
"BIHAR","BHAGALPUR",52,56,13,24,9,1,103,155
"BIHAR","BHOJPUR",19,73,12,23,15,0,123,142
"BIHAR","BUXAR",23,55,10,41,26,0,132,155
"BIHAR","DARBHANGA",61,53,38,34,30,0,155,216
"BIHAR","EAST CHAMPARAN",98,121,14,26,23,0,184,282
"BIHAR","GAYA",18,15,3,13,10,0,41,59
"BIHAR","GOPAALGANJ",11,22,4,3,16,0,45,56
"BIHAR","JAMUI",3,0,0,0,0,0,0,3
"BIHAR","JEHANABAD",3,4,10,16,3,0,33,36
"BIHAR","KAIMUR (BHABUA)",92,24,23,2,6,0,55,147
"BIHAR","KATIHAR",27,24,0,4,12,0,40,67
"BIHAR","KHAGARIA",34,73,8,7,4,0,92,126
"BIHAR","KISHANGANJ",5,3,0,1,1,0,5,10
"BIHAR","LAKHISARAI",41,1,0,2,0,1,4,45
"BIHAR","MADHEPURA",11,4,0,1,19,0,24,35
"BIHAR","MADHUBANI",541,30,21,41,8,1,101,642
"BIHAR","MUNGER",1,0,0,1,0,0,1,2
"BIHAR","MUZAFFARPUR",49,88,16,59,37,0,200,249
"BIHAR","NALANDA",79,64,17,11,17,0,109,188
"BIHAR","NAWADA",53,42,24,9,17,5,97,150
"BIHAR","PATNA",98,109,20,38,43,0,210,308
"BIHAR","PURNIA",2,0,0,0,1,0,1,3
"BIHAR","ROHTAS(SASARAM)",48,20,0,8,12,0,40,88
"BIHAR","SAHARSA",2,5,0,0,8,0,13,15
"BIHAR","SAMASTIPUR",45,122,16,36,38,0,212,257
"BIHAR","SARAN",80,32,8,16,15,0,71,151
"BIHAR","SHEKHPURA",85,25,5,21,5,0,56,141
"BIHAR","SHEOHAR",6,3,0,2,8,0,13,19
"BIHAR","SITAMARHI",1655,77,2,34,72,8,193,1848
"BIHAR","SIWAN",10,58,5,13,19,0,95,105
"BIHAR","SUPAUL",14,19,0,8,1,0,28,42
"BIHAR","VAISHALI",20,22,7,2,19,0,50,70
"BIHAR","WEST CHAMPARAN",11,3,4,3,6,0,16,27
"CHANDIGARH","UT CHANDIGARH",55,2,0,0,0,0,2,57
"CHHATTISGARH","BASTER",4,0,0,0,0,0,0,4
"CHHATTISGARH","BILASPUR",1382,6,0,0,4,0,10,1392
"CHHATTISGARH","DANTEWADA",3,0,0,0,0,0,0,3
"CHHATTISGARH","DHAMTARI",7,1,0,0,0,0,1,8
"CHHATTISGARH","DURG",183,3,1,0,3,0,7,190
"CHHATTISGARH","JANJGIR-CHAMPA",2674,6,1,0,0,0,7,2681
"CHHATTISGARH","JASHPUR",1,0,0,0,0,0,0,1
"CHHATTISGARH","KANKER",6,0,0,0,0,0,0,6
"CHHATTISGARH","KORIA",4,0,0,0,0,0,0,4
"CHHATTISGARH","KVARDHA",61,8,0,0,1,0,9,70
"CHHATTISGARH","MAHASAMUND",4,0,0,0,0,0,0,4
"CHHATTISGARH","RAIGARH",599,41,2,0,0,0,43,642
"CHHATTISGARH","RAIPUR",128,5,1,0,0,0,6,134
"CHHATTISGARH","RAJNANDGAON",15,1,1,0,0,0,2,17
"CHHATTISGARH","SURGUJA",70,1,0,0,0,0,1,71
"DELHI","MAHRAULI",475,0,1,0,0,0,1,476
"DELHI","NAJAFGARH",168,0,1,0,0,0,1,169
"GOA","NORTH GOA",52,5,0,0,0,0,5,57
"GOA","SOUTH GOA",3,0,0,0,0,0,0,3
"GUJARAT","AHMEDABAD",5254,1078,98,53,203,0,1432,6686
"GUJARAT","AMRELI",1613,3946,0,0,0,0,3946,5559
"GUJARAT","ANAND",2283,2,11,3,26,20,62,2345
"GUJARAT","BANASKANTHA",20431,201,195,228,88,0,712,21143
"GUJARAT","BHARUCH",203,2,0,2,0,0,4,207
"GUJARAT","BHAVNAGAR",3,0,1,0,0,0,1,4
"GUJARAT","DANG",1,0,0,0,0,0,0,1
"GUJARAT","GANDHINAGAR",7927,2,31,15,15,0,63,7990
"GUJARAT","JUNAGADH",7172,15,20,4,10,0,49,7221
"GUJARAT","KACHCHH",992,27,0,41,198,0,266,1258
"GUJARAT","KHEDA",1555,194,461,33,17,0,705,2260
"GUJARAT","MEHSANA",9270,111,154,223,180,0,668,9938
"GUJARAT","NARMADA",460,0,0,0,1,0,1,461
"GUJARAT","NAVSARI",202,0,0,0,0,0,0,202
"GUJARAT","PANCHMAHAL",14,0,0,0,0,0,0,14
"GUJARAT","PATAN",6024,12,34,49,5,0,100,6124
"GUJARAT","PORBANDAR",151,595,23,0,7,0,625,776
"GUJARAT","RAJKOT",5303,314,1031,289,186,0,1820,7123
"GUJARAT","SABARKANTHA",1267,2,2,40,0,0,44,1311
"GUJARAT","SURAT",19,0,0,0,0,0,0,19
"GUJARAT","SURENDRANAGAR",9698,275,98,68,163,0,604,10302
"GUJARAT","VADODARA",2996,80,61,61,34,6,242,3238
"HARYANA","AMBALA",3656,5,12,0,19,0,36,3692
"HARYANA","BHIWANI",272,5,2,8,0,0,15,287
"HARYANA","FARIDABAD",28,0,0,0,0,0,0,28
"HARYANA","FATEHABAD",2836,6,3,6,0,0,15,2851
"HARYANA","GURGAON",262,1,0,27,0,0,28,290
"HARYANA","HISSAR",328,1,0,1,0,0,2,330
"HARYANA","JHAJJAR",328,8,1,0,0,0,9,337
"HARYANA","JIND",1488,22,2,31,3,0,58,1546
"HARYANA","KAITHAL",3301,22,1,2,24,0,49,3350
"HARYANA","KARNAL",2349,3,1,1,22,0,27,2376
"HARYANA","KURUKSHETRA",3341,33,7,0,11,0,51,3392
"HARYANA","MAHENDRAGARH",658,4,74,0,9,0,87,745
"HARYANA","PANCHKULA",238,23,29,0,2,0,54,292
"HARYANA","PANIPAT",1425,50,2,0,8,0,60,1485
"HARYANA","REWARI",287,2,1,17,0,0,20,307
"HARYANA","SIRSA",2147,5,0,8,0,0,13,2160
"HARYANA","SONEPAT",569,16,0,0,4,0,20,589
"HARYANA","YAMUNANAGAR",281,1,0,0,0,0,1,282
"HIMACHAL PRADESH","Kangra",110,0,0,0,0,0,0,110
"HIMACHAL PRADESH","Kullu",2,0,0,0,0,0,0,2
"HIMACHAL PRADESH","Sirmaur",11,0,0,0,1,0,1,12
"HIMACHAL PRADESH","Solan",37,0,0,0,0,0,0,37
