-----
{
 "description": "The table refers to the state's gross domestic product at constant prices for the base year 2004-05.", 
 "file_name": "JharkhandGSDPconst_1.csv", 
 "title": "Download CSV for Jharkhand Gross State Domestic Product at factor cost at Constant Prices for the base year 2004-05", 
 "url": "http://data.gov.in/sites/default/files/JharkhandGSDPconst_1.csv"
}
-----
"Sector","2004-05","2005-06","2006-07","2007-08","2008-09","2009-10","2010-11","2011-12","2012-13"
"Agriculture","679460","702304","799463","846191","1019766","925089","983983","1046625","1113257"
"Foresty and Logging","201104","207567","218890","224852","230094","247367","257825","268726","280088"
"Fishing","11108","14320","22146","27801","31061","28870","29437","34628","40736"
"Ag and Allied","891672","924191","1040499","1098844","1280921","1201326","1271245","1349979","1434081"
"Mining and Quarrying","652343","673291","624450","629711","776937","833326","875150","919074","965202"
"Sub total of primary","1544015","1597482","1664949","1728555","2057858","2034652","2146395","2269053","2399283"
"Manufacturing","2012916","1559683","1365290","2198502","1499809","1577308","1656726","1740569","1829109"
"Registered","1732960","1261450","1037686","1831352","1138579","1169452","1216992","1266465","1317949"
"Unregistered","279956","298233","327604","367150","361230","407856","439734","474104","511160"
"Construction","361928","416111","474893","493989","545238","598327","661609","731585","808962"
"Electricity, Gas and water Supply","88992","83640","100933","115788","80931","89210","89254","89297","89341"
"Sub total of secondary","2463836","2059434","1941116","2808279","2125978","2264845","2407589","2561451","2727412"
"Industry","3116179","2732725","2565566","3437990","2902915","3098171","3282739","3480525","3692614"
"Transport Storage and Communication","360010","390514","453621","514289","586108","702381","792517","913530","1056782"
"Railways","159803","168785","204498","220851","251361","273727","281444","309285","339881"
"Transport by other means","151473","164090","184498","216621","223991","274512","309176","348218","392190"
"Storage","1117","1134","1267","1459","1631","2106","2390","2714","3081"
"Communication","47617","56505","63358","75358","109125","152036","199507","253313","321630"
"Trade, hotels and restaurants","604909","661405","713389","830547","821277","956692","1048548","1149225","1259567"
"Banking and Insurance","137474","157655","194710","229125","244707","294816","360487","423319","497102"
"Real estate, ownership of dwelling and business","211484","228235","249433","258285","244724","313681","339414","367259","397388"
"Pubic Administration","233998","222316","221012","233066","297889","354014","384575","417776","453842"
"Other Services","420046","467800","484342","535565","634405","802923","914006","1040458","1184405"
"Sub total of tertiary","1967921","2127925","2316507","2600877","2829110","3424507","3839547","4311567","4849086"
"State domestic product","5975772","5784841","5922572","7137711","7012946","7724004","8393531","9142071","9975781"

"Figures are in Rs. Lakh"
