-----
{
 "description": "The table refers to District wise Culturable Command Area and Potential Created through Surface Lift Schemes. The report has been sourced from 3rd census of minor irrigation scheme(2000-01) from Ministry of Water Resources.", 
 "file_name": "srfcliftstate5.12.csv", 
 "title": "Download CSV for Districtwise Culturable Command Area and Potential Created through Surface Lift Schemes", 
 "url": "http://data.gov.in/sites/default/files/srfcliftstate5.12.csv"
}
-----
"State","District","Culturable Command Area","Irrigation potential created - Kharif","Irrigation potential created - Rabi","Irrigation potential created - Perennial","Irrigation potential created - Others","Total - Irrigation potential created"
"CHHATTISGARH","DHAMTARI",2225,2276,157,0,105,2538
"CHHATTISGARH","DURG",6723,6073,2163,84,58,8379
"CHHATTISGARH","JANJGIR-CHAMPA",2523,1061,2078,18,1,3158
"CHHATTISGARH","JASHPUR",562,79,471,14,0,564
"CHHATTISGARH","KANKER",1656,1653,676,3,0,2333
"CHHATTISGARH","KORBA",1820,387,1489,13,0,1889
"CHHATTISGARH","KORIA",1709,133,1594,1,0,1728
"CHHATTISGARH","KVARDHA",3997,7206,1172,9,3,8390
"CHHATTISGARH","MAHASAMUND",4102,4093,223,0,0,4317
"CHHATTISGARH","RAIGARH",5693,2627,4182,19,1,6829
"CHHATTISGARH","RAIPUR",9347,9642,3067,71,15,12796
"CHHATTISGARH","RAJNANDGAON",2375,2474,195,1,0,2670
"CHHATTISGARH","SURGUJA",14967,1196,14149,15,0,15360
"DADRA & NAGAR HAVELI","DADRA & NAGAR HAVELI",868,868,481,0,0,1349
"DELHI","NANGLOI",443,232,223,0,0,456
"GOA","NORTH GOA",1623,1,204,1247,174,1626
"GOA","SOUTH GOA",2328,23,223,2025,128,2398
"GUJARAT","AHMEDABAD",192,23,89,81,0,193
"GUJARAT","BANASKANTHA",44,44,40,0,0,84
"GUJARAT","BHARUCH",395,190,225,0,35,450
"GUJARAT","DAHOD",9153,6140,6544,360,95,13139
"GUJARAT","DANG",230,200,120,0,0,320
"GUJARAT","KACHCHH",4575,2209,2629,50,68,4956
"GUJARAT","KHEDA",197,200,10,0,0,210
"GUJARAT","NAVSARI",1574,1453,37,92,11,1593
"GUJARAT","PATAN",110,110,0,0,0,110
"GUJARAT","RAJKOT",3340,3336,763,3,44,4146
"GUJARAT","SABARKANTHA",555,130,488,3,0,621
"GUJARAT","SURAT",7203,1412,3499,2266,273,7450
"GUJARAT","SURENDRANAGAR",604,556,167,0,0,723
"GUJARAT","VADODARA",3479,2806,736,19,30,3590
"GUJARAT","VALSAD",852,372,643,71,2,1089
"HARYANA","BHIWANI",1435,791,1287,0,0,2078
"HARYANA","FATEHABAD",447,445,443,0,0,888
"HARYANA","PANCHKULA",311,297,321,4,0,621
"HARYANA","SIRSA",88,85,85,0,0,169
"HARYANA","SONEPAT",54,79,78,0,0,157
"HIMACHAL PRADESH","Bilaspur",1121,1099,1104,1,0,2204
"HIMACHAL PRADESH","Chamba",155,137,137,0,0,274
"HIMACHAL PRADESH","Hamirpur",1038,926,937,2,3,1868
"HIMACHAL PRADESH","Kangra",2503,2145,2209,52,0,4406
"HIMACHAL PRADESH","Kullu",446,441,322,0,0,763
"HIMACHAL PRADESH","Lahul & Spiti",17,12,9,0,0,21
"HIMACHAL PRADESH","Mandi",1784,1643,1679,0,8,3331
"HIMACHAL PRADESH","Shimla",161,134,122,14,0,270
"HIMACHAL PRADESH","Sirmaur",2648,2335,2337,226,0,4899
"HIMACHAL PRADESH","Solan",1742,1505,1455,32,5,2998
"HIMACHAL PRADESH","Una",1844,1052,1261,50,101,2465
"JAMMU & KASHMIR","ANANTNAG",709,687,628,10,0,1325
"JAMMU & KASHMIR","BADGAM",4734,4633,2301,28,357,7319
"JAMMU & KASHMIR","BARAMULLA",11706,12880,1008,50,0,13938
"JAMMU & KASHMIR","DODA",1262,1280,146,0,0,1426
"JAMMU & KASHMIR","JAMMU",150,197,58,10,0,265
"JAMMU & KASHMIR","KATHUA",388,331,264,0,0,595
"JAMMU & KASHMIR","KUPWARA",7,7,0,0,0,7
"JAMMU & KASHMIR","POONCH",40,40,12,0,0,52
"JAMMU & KASHMIR","PULWAMA",3550,3218,2437,4,0,5659
"JAMMU & KASHMIR","RAJOURI",158,127,81,0,0,208
"JAMMU & KASHMIR","SRINAGAR",2271,2138,267,167,0,2572
"JAMMU & KASHMIR","UDHAMPUR",78,50,28,0,0,78
"JHARKHAND","BOKARO",970,1076,193,2,4,1275
"JHARKHAND","CHATRA",281,254,60,5,5,324
"JHARKHAND","DEOGHAR",1104,917,416,17,11,1362
