-----
{
 "description": "This table gives the share and percentage growth/change of Major Exports for the years 2010-11, 2011-12 and 2012-13. It is observed that Manufactured goods had a substantial share in the Total Exports of India in the year 2010-11 but it has rapidly declined in the subsequent years.", 
 "file_name": "tab73.xls", 
 "title": "Download XLS for Share and Percentage Change of Major Exports(External Link that opens in a new window)", 
 "url": "http://indiabudget.nic.in/tab2012/tab73.xls"
}
-----
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"7.3 (A): PRINCIPAL EXPORTS","","","","","","","","","","","","","","7.3 (B) SHARE AND PERCENTAGE GROWTH/CHANGE OF MAJOR EXPORTS ","","","","","","","","","",""
"","","","","","","","","Quantity : Thousand tonne","","","","","","","","","Percentage share","","","","Percentage changea","","",""
"","","","","","","","","Value : Rs. crore & US $ Million","","","","","","","","Commodity Group","2010-11","2011-12","2011-12","2012-13","2010-11","2011-12","2011-12","2012-13"
"","","1960-61","","","1970-71","","","1980-81","","","","","","","","","","","(Apr.-Nov.)","(Apr.-Nov.) (P)","","","(Apr.-Nov.)","(Apr.-Nov.)"
"","","Qty.","Rs. Cr","$ million","Qty.","Rs. Cr","$ million","Qty.","Rs. Cr","$ million","","","","","",1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0
1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,"","","","I.","Agricullture & allied, of which","",9.73547433724,12.3502086415,10.7278729624,13.9771784317,36.1118370729,53.8761602854,60.8011283224,21.1469841791
"I.","Agricultural and allied products:","...",284.0,596.0,"...",487.0,644.0,"...",2057.0,2601.0,"","","","",1.0,"Tea",0.293158578433,0.279409044844,0.297279281893,0.271889135635,18.6500882484,15.6090988905,26.9695292393,-14.9579088447
"","of which","","","","","","","","","","","","","",2.0,"Coffee",0.263058882629,0.310661425277,0.302348255443,0.300171826361,54.2237691174,43.2479850485,71.591240551,-7.68565755184
"I. 1","Coffee",19.7,7.0,15.0,32.2,25.0,33.0,87.3,214.0,271.0,"","","","",3.0,"Cereals",1.33152270328,2.09800839989,1.63950443666,2.96414152389,11.4896812074,91.1229364269,84.340254435,68.10981068
"I. 2","Tea and mate",199.2,124.0,260.0,199.1,148.0,196.0,229.2,426.0,538.0,"","","","",4.0,"Unmfg. Tobacco",0.275446269307,0.198630847343,0.182564235462,0.237963592254,-9.38720512894,-12.5290258605,-22.4560811357,21.1996968511
"I. 3","Oil cakes",433.8,14.0,29.0,878.5,55.0,73.0,886.0,125.0,158.0,"","","","",5.0,"Spices",0.702979363071,0.905681247728,0.905697278194,1.08411065802,36.0141991001,56.274084117,68.5388491443,11.3005400019
"I. 4","Tobacco",47.5,16.0,34.0,49.8,33.0,43.0,91.3,141.0,178.0,"","","","",6.0,"Cashewnuts",0.249359038331,0.304861843916,0.307876335238,0.264734218104,5.00171621626,48.2969162345,66.0132157859,-20.0459456431
"I. 5","Cashew kernels",43.6,19.0,40.0,60.6,57.0,76.0,32.3,140.0,177.0,"","","","",7.0,"Oil Meals",0.967453718802,0.808129259762,0.672019753408,0.750194589088,47.1645968943,1.32224306328,17.9048790451,3.80029994155
"I. 6","Spices",47.2,17.0,36.0,46.9,39.0,51.0,84.2,11.0,14.0,"","","","",8.0,"Fruits & Vegetables & Pulses",0.554952748719,0.519773155698,0.507769525054,0.494514133039,3.78148157765,13.6088076244,9.31459892464,-9.44367364973
"I. 7","Sugar and molasses",99.6,30.0,60.0,473.0,29.0,39.0,97.0,40.0,50.0,"","","","",9.0,"Marine Products",1.04152610672,1.13616445865,1.23248697562,1.26249293268,25.3344083281,32.3199114957,44.885411464,-4.75255445399
"I. 8","Raw cotton",32.6,12.0,25.0,32.1,14.0,19.0,131.6,165.0,209.0,"","","","",10.0,"Raw Cotton",1.15019248665,1.48138964303,0.968848533212,0.726985108467,43.6777171723,56.2258657806,69.0881553356,-30.2287748964
"I. 9","Rice","...","...","...",32.8,5.0,7.0,726.7,224.0,283.0,"","","","II.","Ores and Minerals, of which (Excl.Coal)","",3.41706907649,2.80552973166,2.6158565984,1.97943466983,-1.34789645486,-0.410103783808,-14.3461807296,-29.638682905
"I. 10","Fish and fish preparations",19.9,5.0,10.0,32.6,31.0,40.0,69.4,217.0,274.0,"","","","",11.0,"Iron Ore",1.8716714796,1.51975028343,1.40479244147,0.62160271034,-21.3923994273,-1.50894876253,-21.2040691131,-58.855910353
"I. 11","Meat and meat preparations","...",1.0,2.0,"...",3.0,4.0,"...",56.0,70.0,"","","","",12.0,"Processed minerals",0.867024898005,0.598328084093,0.558850519323,0.715628578536,76.8041731394,-16.2929606731,-31.9212868063,19.069008404
"I. 12","Fruits, vegetables and pulses","","","","","","","","","","","","","",13.0,"Other ores & minerals",0.583256127893,0.60523066139,0.575650409099,0.557928478308,11.0243418602,25.8681281717,47.5782644459,-9.87891079243
"","(excl.cashew kernels, processed","...",6.0,13.0,"...",12.0,16.0,"...",80.0,101.0,"","","","III.","Manufactured goods, of which","",68.9945033572,66.06644707,66.9191257338,64.4770289587,44.1912914328,16.15037641,27.6660370151,-10.4095993271
"","fruits & juices)","","","","","","","","","","","","","",14.0,"Leather & Manufactures",0.971519723364,1.00999057324,1.03144728992,1.11623254619,15.8329023708,26.1013862654,39.3225406547,0.6269621883
"I. 13","Miscellaneous processed foods (incl.","...",1.0,2.0,"...",4.0,6.0,"...",36.0,45.0,"","","","",15.0,"Leather footwear",0.585710434393,0.563775875118,0.568197291149,0.555303163183,17.1882448388,16.7555917293,30.4343404528,-9.1264051776
"","processed fruits and juices)","","","","","","","","","","","","","",16.0,"Gems & Jewellerly",16.1178114677,14.7212018801,14.8776216777,15.3592264872,39.5799733707,10.7876523381,38.5722323215,-4.0063393119
"II.","Ores and minerals (excl. coal)","...",52.0,109.0,"...",164.0,217.0,"...",414.0,523.0,"","","","",17.0,"Drugs,Pharmaceuticals & fine chemicals",4.26589669641,4.35380968965,4.16192848348,5.02822451472,19.7041368809,23.7978977219,28.4010299451,12.3380207313
"","of which","","","","","","","","","","","","","",18.0,"Dyes/intmdts. & Coaltar chemicals",1.20187692806,1.27422658192,1.24209415445,1.4500336688,29.1138398852,28.5999574684,39.8107223311,8.55011514002
"II.1","Mica",28.4,"...","...",26.7,16.0,21.0,16.7,18.0,22.0,"","","","",19.0,"Manufactures of metals",3.36721420647,3.14583091781,2.93605598302,3.59759883543,53.0926779002,13.3231906906,2.96238141221,13.9344661533
"II.2","Iron ore (million tonne)",3.2,17.0,36.0,21.2,117.0,155.0,22.4,303.0,384.0,"","","","",20.0,"Machinery & instruments",4.71437612297,4.69844276223,4.5827094455,5.1883355208,24.1023658592,20.8881898189,29.0649034272,5.27189737837
"III.","Manufactured goods","...",291.0,610.0,"...",772.0,1021.0,"...",3747.0,4738.0,"","","","",21.0,"Transport equipments",6.39062063444,6.94046559422,7.28316879099,6.25442385253,63.3427534462,31.7345616884,29.9988569018,-20.1502328022
"","of which","","","","","","","","","","","","","",22.0,"Primary & semi-finished Iron & Steel",1.595095868,1.697925193,1.68457007511,1.58244800409,38.6295327551,29.117742641,28.2859847737,-12.6531822304
"III. 1","Textile fabrics & manufactures","","","","","","","","","","","","","",23.0,"Electronic Goods",3.29473725193,3.08129787671,3.06084334708,2.99485848305,46.7074756953,13.4402202064,22.7077689611,-9.02084010437
"","(excl. carpets hand-made)","...",73.0,153.0,"...",145.0,192.0,"...",933.0,1179.0,"","","","",24.0,"Cotton yarn,fabs,made-ups etc.",2.30387301792,2.23419964936,2.23064668937,2.45099788271,57.0265487046,17.6298662769,24.3962079288,2.16893537512
"","of which","","","","","","","","","","","","","",25.0,"Readymade Garments",4.61991110065,4.4948641519,4.32093692652,4.28690846823,8.36306517604,18.0149738333,32.1598344277,-7.74859188848
"III.1.1","Cotton yarn,fabrics, made-ups etc.","...",65.0,136.0,"...",142.0,188.0,"...",408.0,516.0,"","","","",26.0,"Handicrafts",0.102299259281,0.0912274650208,0.0902046104706,0.0860663558602,14.2645570018,8.17011226732,27.7496923742,-11.2820701484
"III.1.2","Readymade garments of all","","","","","","","","","","","","","IV","Crude & Petroleum Products (incl. Coal)","",16.8361749917,18.7179863285,19.1733405915,18.8677024752,46.8105392045,34.855870622,55.846746617,-8.49855508013
"","textile materials","...",1.0,2.0,"...",29.0,39.0,"...",550.0,696.0,"","","","V","Other & unclassified items","",0.905351132113,0.486941257848,0.540218844167,0.694039841103,-12.9477132505,-34.7600399011,-37.8222313833,19.4596924427
"III. 2","Coir yarn and manufactures","...",6.0,13.0,"...",13.0,17.0,"...",17.0,22.0,"","","","","Total Exports","",100.0,100.0,100.0,100.0,40.4946410778,21.2981458904,32.7060901249,-7.01632218496
"III. 3","Jute manufactures incl.twist & yarn",790.0,135.0,283.0,560.0,190.0,252.0,660.0,330.0,417.0,"","","","Source : DGCI&S, Kolkata.","","","","P : Provisional","","","","","",""
"III. 4","Leather & leather manufactures incl.","","","","","","","","","","","","","a In terms of US Dollar.","","","","","","","","","",""
"","leather footwear,leather travel","...",28.0,59.0,"...",80.0,106.0,"...",390.0,493.0,"","","","","","","","","","","","","",""
"","goods & leather garments","","","","","","","","","","","","","","","","","","","","","","",""
"III. 5","Handicrafts (incl. carpets hand-made) c","...",11.0,23.0,"...",73.0,96.0,"...",952.0,1204.0,"","","","","","","","","","","","","",""
"","of which:","","","","","","","","","","","","","","","","","","","","","","",""
"III. 5.1","Gems and jewellery ","...",1.0,2.0,"...",45.0,59.0,"...",618.0,782.0,"","","","","","","","","","","","","",""
"III. 6","Chemicals and allied productsa","...",7.0,15.0,"...",29.0,39.0,"...",225.0,284.0,"","","","","","","","","","","","","",""
"III. 7","Machinery, transport & metal manufactures","","","","","","","","","","","","","","","","","","","","","","",""
"","including iron and steelb","...",22.0,46.0,"...",198.0,261.0,"...",827.0,1045.0,"","","","","","","","","","","","","",""
"IV.","Mineral fuels and lubricants (incl.coal)d","...",7.0,15.0,"...",13.0,17.0,"...",28.0,35.0,"","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","Total Exports","...",642.0,1346.0,"...",1535.0,2031.0,"...",6711.0,8486.0,"","","","","","","","","","","","","",""
"","","","","","","","","","","Contd…","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"7.3 (A) PRINCIPAL EXPORTS","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","Quantity : Thousand tonne","","","","","","","","","","","","","","","",""
"","","","","","","","","Value : Rs. crore & US $ Million","","","","","","","","","","","","","","","",""
"","","1990-91","","","2000-01","","","2010-11","","","","","","","","","","","","","","","",""
"","","Qty.","Rs. Cr","$ million","Qty.","Rs. Cr","$ million","Qty.","Rs.Cr.","$ million","","","","","","","","","","","","","",""
1.0,2.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,"","","","","","","","","","","","","",""
"I.","Agricultural and allied products:","...",6317.0,3521.0,"...",28582.0,6256.0,"...",111393.0,24448.3414028,"","","","","","","","","","","","","",""
"","of which","","","","","","","","","","","","","","","","","","","","","","",""
"I. 1","Coffee",86.5,252.0,141.0,184.9,1185.0,259.0,232.627751,3009.9117,661.7733,"","","","","","","","","","","","","",""
"I. 2","Tea and mate",199.1,1070.0,596.0,202.4,1976.0,433.0,238.336203,3354.3115,736.4511,"","","","","","","","","","","","","",""
"I. 3","Oil cakes",2447.8,609.0,339.0,2417.8,2045.0,448.0,6936.933,11069.5759,2437.904,"","","","","","","","","","","","","",""
"I. 4","Tobacco",87.1,263.0,147.0,108.3,871.0,191.0,215.882819,3985.0,874.620851312,"","","","","","","","","","","","","",""
"I. 5","Cashew kernels",55.5,447.0,249.0,83.8,1883.0,412.0,12156.454,2853.1585,626.6792,"","","","","","","","","","","","","",""
"I. 6","Spices",103.3,239.0,133.0,244.9,1619.0,354.0,762.713508,8043.4684,1768.0762,"","","","","","","","","","","","","",""
"I. 7","Sugar and molasses",191.0,38.0,21.0,769.0,511.0,112.0,2086.299,5633.2506,1245.9369,"","","","","","","","","","","","","",""
"I. 8","Raw cotton",374.4,846.0,471.0,30.2,224.0,49.0,1885.77,13160.4673,2909.956,"","","","","","","","","","","","","",""
"I. 9","Rice",505.0,462.0,257.0,1534.4,2943.0,644.0,2471.362,11586.0553,2544.7743,"","","","","","","","","","","","","",""
"I. 10","Fish and fish preparations",158.9,960.0,535.0,502.6,6367.0,1394.0,825.3071,11917.1099,2622.7241,"","","","","","","","","","","","","",""
"I. 11","Meat and meat preparations","...",140.0,78.0,"...",1470.0,322.0,"...",8960.0691,1971.0753,"","","","","","","","","","","","","",""
"I. 12","Fruits, vegetables and pulses","","","","","","","","","","","","","","","","","","","","","","",""
"","(excl.cashew kernels, processed","","","","","","","","","","","","","","","","","","","","","","",""
"","fruits & juices)","...",216.0,120.0,"...",1609.0,352.0,"...",6349.7524,1396.5614,"","","","","","","","","","","","","",""
"I. 13","Miscellaneous processed foods (incl.","","","","","","","","","","","","","","","","","","","","","","",""
"","processed fruits and juices)","...",213.0,119.0,"...",1094.0,239.0,"...",3669.3828,806.0624,"","","","","","","","","","","","","",""
"II.","Ores and minerals (excl. coal)","...",1497.0,834.0,"...",4139.0,906.0,"...",39098.0,8581.16086439,"","","","","","","","","","","","","",""
"","of which","","","","","","","","","","","","","","","","","","","","","","",""
"II.1","Mica",42.0,35.0,19.0,63.2,64.0,14.0,125.846557,189.2085,41.5045,"","","","","","","","","","","","","",""
"II.2","Iron ore (million tonne)",32.5,1049.0,585.0,20161.4,1634.0,358.0,46.889382,21415.6079,4714.5335,"","","","","","","","","","","","","",""
"III.","Manufactured goods","...",23736.0,13229.0,"...",160723.0,35181.0,"",789433.0,173263.378297,"","","","","","","","","","","","","",""
"","of which","","","","","","","","","","","","","","","","","","","","","","",""
"III. 1","Textile fabrics & manufactures","","","","","","","","","","","","","","","","","","","","","","",""
"","(excl. carpets hand-made)","...",6832.0,3807.0,"...","...","...","","","","","","","","","","","","","","","","",""
"","of which","","","","","","","","","","","","","","","","","","","","","","",""
"III.1.1","Cotton yarn,fabrics, made-ups etc.","...",2100.0,1170.0,"...",16030.0,3509.0,"...",13160.4673,2909.956,"","","","","","","","","","","","","",""
"III.1.2","Readymade garments of all","","","","","","","","","","","","","","","","","","","","","","",""
"","textile materials","...",4012.0,2236.0,"...",25478.0,5577.0,"...",52860.8817,11614.2075,"","","","","","","","","","","","","",""
"III. 2","Coir yarn and manufactures","...",48.0,27.0,"...",221.0,48.0,"...",726.4932,159.4946,"","","","","","","","","","","","","",""
"III. 3","Jute manufactures incl.twist & yarn",220.0,298.0,166.0,"...",932.0,204.0,"...",2092.0663,458.7256,"","","","","","","","","","","","","",""
"III. 4","Leather & leather manufactures incl.","","","","","","","","","","","","","","","","","","","","","","",""
"","leather footwear,leather travel","","","","","","","","","","","","","","","","","","","","","","",""
"","goods & leather garments","...",2600.0,1449.0,"...",8914.0,1951.0,"...",17817.7799,3909.2427,"","","","","","","","","","","","","",""
"III. 5","Handicrafts (incl. carpets hand-made) c","...",6167.0,3437.0,"...",5097.0,1116.0,"...",5877.156,1292.5624,"","","","","","","","","","","","","",""
"","of which","","","","","","","","","","","","","","","","","","","","","","",""
"III. 5.1","Gems and jewellery ","...",5247.0,2924.0,"...",33734.0,7384.0,"...",184419.5065,40508.7159,"","","","","","","","","","","","","",""
"III. 6","Chemicals and allied productsa","...",2111.0,1176.0,"...",22851.0,5002.0,"...",131543.622,28904.532,"","","","","","","","","","","","","",""
"III. 7","Machinery, transport & metal manufactures","","","","","","","","","","","","","","","","","","","","","","",""
"","including iron and steelb","...",3872.0,2158.0,"...",31870.0,6976.0,"...",226805.2085,49814.7134,"","","","","","","","","","","","","",""
"IV.","Mineral fuels and lubricants (incl.coal)d","...",948.0,528.0,"...",8822.0,1931.0,"",192639.0,42280.0718133,"","","","","","","","","","","","","",""
"","Total Exports","...",32553.0,18143.0,"...",203571.0,44076.0,"",1142922.0,251136.0,"","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","Contd…","","","","","","","","","","","","","",""
"7.3 (A) PRINCIPAL EXPORTS","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","Quantity : Thousand tonne","","","","","","","","","","","","","","","",""
"","","","","","","","","Value : Rs. crore & US $ Million","","","","","","","","","","","","","","","",""
"","","2011-12","","","2011-12 (Apr.-Nov.)","","","2012-13(Apr.-Nov.)(P)","","","","","","","","","","","","","","","",""
"","","Qty.","Rs.Cr.","$ million","Qty.","Rs.Cr.","$ million","Qty.","Rs.Cr.","$ million","","","","","","","","","","","","","",""
1.0,2.0,21.0,22.0,23.0,24.0,25.0,26.0,27.0,28.0,29.0,"","","","","","","","","","","","","",""
"I.","Agricultural and allied products:","...",180279.0,37618.4320489,"...",100120.0,21555.977965,"...",142269.0,26117.8459739,"","","","","","","","","","","","","",""
"","of which","","","","","","","","","","","","","","","","","","","","","","",""
"I. 1","Coffee",278.868332,4534.8004,952.9064,180.009704,2821.725,614.4415,164.317465,3055.3481,560.9292,"","","","","","","","","","","","","",""
"I. 2","Tea and mate",292.354928,4078.6018,847.6499,185.132529,2774.4178,592.3755,159.637866,2767.4681,506.8313,"","","","","","","","","","","","","",""
"I. 3","Oil cakes",7406.363,11796.4594,2420.4636,4070.334,6271.7575,1340.5224,3299.392,7635.9785,1401.7897,"","","","","","","","","","","","","",""
"I. 4","Tobacco",197.165223,4006.0,835.923423071,122.287515,2378.0,511.986771881,154.292215,2422.1514,444.660306818,"","","","","","","","","","","","","",""
