-----
{
 "description": "The table refers to Statewise Distribution of Surface Flow Schemes by Status. The report has been sourced from 3rd census of minor irrigation scheme(2000-01) from Ministry of Water Resources.", 
 "file_name": "srfcflowNat4.6.csv", 
 "title": "Download CSV for Statewise Distribution of Surface Flow Schemes by Status", 
 "url": "http://data.gov.in/sites/default/files/srfcflowNat4.6.csv"
}
-----
"State","In use","Not in use - Temporarily","Not in use - Salinity","Not in use - Dried up","Not in use - Destroyed","Not in use - Others","Total - Not in use","Grand total ( Use  + Not in use)"
"ANDHRA PRADESH",54979,19726,578,5356,541,1263,27464,82443
"ARUNACHAL PRADESH",3248,381,72,95,103,54,705,3953
"ASSAM",1401,440,227,89,39,10,805,2206
"BIHAR",18779,1975,931,332,145,39,3422,22201
"CHHATTISGARH",43886,892,81,112,3,6475,7563,51449
"GOA",3724,95,3,1,0,38,137,3861
"GUJ ARAT",14116,2103,235,1173,162,937,4610,18726
"HARYANA",730,7,5,20,0,9,41,771
"HIMACHAL PRADESH",13547,212,15,48,36,71,382,13929
"JAMMU & KASHMIR",5512,80,231,19,5,16,351,5863
"JHARKHAND",38968,3311,275,461,150,63,4260,43228
"KARNATAKA",26208,3526,63,122,39,815,4565,30773
"KERALA",10082,598,97,54,80,46,875,10957
"MADHYA PRADESH",50501,5536,160,279,56,192,6223,56724
"MAHARASHTRA",59458,534,4820,415,189,2285,8243,67701
"MANIPUR",312,0,0,0,0,0,0,312
"MEGHALAYA",12036,133,3,9,192,41,378,12414
"MIZORAM",6581,843,96,26,98,58,1121,7702
"NAGALAN D",18605,929,66,151,180,15,1341,19946
"ORISSA",23381,3741,87,539,421,134,4922,28303
"PUNJAB",1971,3,10,1,0,1,15,1986
"RAJASTHAN",1607,1395,4,36,7,56,1498,3105
"SIKKIM",942,113,2,0,5,14,134,1076
"TAMIL NADU",36136,8690,128,108,39,498,9463,45599
"TRIPURA",843,52,8,15,16,2,93,936
"UTTAR PRADESH",5404,234,334,260,35,32,895,6299
"UTTARANCHAL",19003,2793,1282,937,876,635,6523,25526
"WEST BENGAL",46605,2823,19,80,96,4158,7176,53781
"DADRA & NAGAR HAVELI",46,0,0,0,0,0,0,46
"DELHI",55,0,0,0,0,0,0,55
"PONDICHERRY",20139,3,0,0,0,0,3,20142
"ALL INDIA",538805,61168,9832,10738,3513,17957,103208,642013
