-----
{
 "description": "The table refers to District wise Shallow Tubewells according to Water Distribution System. The report has been sourced from 3rd census of minor irrigation scheme(2000-01) from Ministry of Water Resources.", 
 "file_name": "shltbstate2.8.csv", 
 "title": "Download CSV for Districtwise Shallow Tubewells according to Water Distribution System", 
 "url": "http://data.gov.in/sites/default/files/shltbstate2.8.csv"
}
-----
"State","District","Sprinkler","Drip Irrigation","Open channel","Under ground channel","Others","Total"
"ANDHRA PRADESH","ADILABAD",1119,193,10736,2781,364,15193
"ANDHRA PRADESH","ANANTHAPUR",707,273,26958,5627,399,33964
"ANDHRA PRADESH","CHITTOOR",247,87,14661,4510,344,19849
"ANDHRA PRADESH","CUDDAPAH",311,82,14990,1456,220,17059
"ANDHRA PRADESH","EAST GODAVARI",187,120,21967,658,591,23523
"ANDHRA PRADESH","GUNTUR",141,73,18121,481,376,19192
"ANDHRA PRADESH","KARIMNAGAR",167,15,12611,3653,1032,17478
"ANDHRA PRADESH","KHAMMAM",170,31,6162,889,480,7732
"ANDHRA PRADESH","KRISHNA",60,62,14726,222,344,15414
"ANDHRA PRADESH","KURNOOL",474,149,9697,4589,1147,16056
"ANDHRA PRADESH","MAHABOOBNAGAR",1591,504,53663,19150,2194,77102
"ANDHRA PRADESH","MEDAK",1459,262,64542,20689,1599,88551
"ANDHRA PRADESH","NALGONDA",1032,216,38676,13018,2688,55630
"ANDHRA PRADESH","NELLORE",828,185,27273,1577,220,30083
"ANDHRA PRADESH","NIZAMABAD",1648,780,69566,22715,2162,96871
"ANDHRA PRADESH","PRAKASAM",1614,132,18870,911,324,21851
"ANDHRA PRADESH","RANGAREDDY",1476,748,24450,7230,2143,36047
"ANDHRA PRADESH","SRIKAKULAM",98,80,6084,172,286,6720
"ANDHRA PRADESH","VISAKHAPATNAM",110,311,6264,319,482,7486
"ANDHRA PRADESH","VIZIANAGARAM",95,47,4483,316,715,5656
"ANDHRA PRADESH","WARANGAL",1062,219,21837,4508,1388,29014
"ANDHRA PRADESH","WEST GODAVARI",315,48,14899,368,258,15888
"ASSAM","BARPETA",11,65,8573,90,1043,9782
"ASSAM","BONGAIGAON",4,188,6043,22,17,6274
"ASSAM","DARRANG",11,48,5277,5,532,5873
"ASSAM","DHEMAJI",5,47,909,3,176,1140
"ASSAM","DHUBRI",12,63,9270,18,462,9825
"ASSAM","DIBRUGARH",265,29,3874,0,2,4170
