-----
{
 "description": "The table refers to the state's gross domestic product at constant prices for the base year 2004-05.", 
 "file_name": "MaharashtraGSDPconst_1.csv", 
 "title": "Download CSV for Maharashtra Gross State Domestic Product at factor cost at Constant Prices for the base year 2004-05", 
 "url": "http://data.gov.in/sites/default/files/MaharashtraGSDPconst_1.csv"
}
-----
"Sector","2004-05","2005-06","2006-07","2007-08","2008-09","2009-10","2010-11","2011-12"
"Agriculture","3442261","3836363","4458707","5185522","4154867","4315870","5127949","4661184"
"Foresty and Logging","912990","914720","981669","1019748","1077507","962932","992988","1134985"
"Fishing","137409","155117","154172","158880","148381","146152","149968","153884"
"Ag and Allied","4492660","4906200","5594548","6364150","5380755","5424955","6270905","5950053"
"Mining and Quarrying","349088","357288","366478","369368","357131","382420","387273","375988"
"Sub total of primary","4841748","5263488","5961026","6733518","5737885","5807375","6658177","6326041"
"Manufacturing","8547610","10677463","12683017","13786769","13190003","14134673","15313623","15962327"
"Registered","5854467","7677971","9343470","9937703","9368651","10064834","10907053","11303192"
"Unregistered","2693143","2999492","3339547","3849066","3821353","4069839","4406570","4659135"
"Construction","2614277","2787571","3032571","3812486","4184368","4971174","5906923","7223483"
"Electricity, Gas and water Supply","791220","808508","863001","964666","1000707","1109702","1221207","1355001"
"Sub total of secondary","11953107","14273541","16578589","18563921","18375078","20215548","22441753","24540811"
"Industry","12302195","14630829","16945066","18933289","18732209","20597969","22829025","24916799"
"Transport Storage and Communication","3292887","3643394","4031800","4334495","4657008","6185621","7174063","7747018"
"Railways","285255","298194","320505","341962","392050","467456","495602","546900"
"Transport by other means","2165886","2322591","2531609","2606884","2639674","2875895","2936358","3008712"
"Storage","18845","20617","21812","23133","24836","26958","28829","31066"
"Communication","822901","1001992","1157874","1362517","1600448","2815311","3713274","4160340"
"Trade, hotels and restaurants","6715578","7268847","8372041","9059493","8976880","10152103","11254574","12289350"
"Banking and Insurance","4742586","5504910","6561571","7721515","8864735","9528879","10771089","12362771"
"Real estate, ownership of dwelling and business","5326178","6010474","6628365","7306547","8048856","8047744","8623350","9331216"
"Pubic Administration","1953560","2081754","2107384","2391761","2798434","2906674","3183178","3540416"
"Other Services","2722325","3046526","3224620","3371910","3560259","3768363","4063202","4365509"
"Sub total of tertiary","24753114","27555904","30925780","34185720","36906172","40589383","45069455","49636280"
"State domestic product","41547968","47092933","53465394","59483159","61019136","66612306","74169385","80503132"

"Figures are in Rs. Lakh"
