-----
{
 "description": "The table presents estimated number of unincorporated non-agricultural manufacturing enterprises in different States and UTs. The percentage share indicated in column 11 has been calculated and sorted based on descending order for all manufacturing enterprises in the combined sector.", 
 "file_name": "estdnoMfg.csv", 
 "title": "Download CSV for Estimated number of manufacturing enterprises in different States/UTs", 
 "url": "http://data.gov.in/sites/default/files/estdnoMfg.csv"
}
-----
"State/UT","Rural Own Account Enterprises","Rural Establishment","All Rural","Urban Own Account Enterprises","Urban Establishment","All Urban","Rural Own Account Enterprises + Urban Own Account Enterprises","Rural Establishment + Urban Establishment","All Rural + All Urban","% Share"
"West Bengal",2002647,159101,2161748,429831,172475,602306,2432478,331576,2764054,16.06
"Uttar Pradesh",1336152,112857,1449010,705320,186809,892130,2041472,299667,2341139,13.6
"Tamil Nadu",573680,107470,681150,726900,244191,971091,1300580,351661,1652241,9.6
"Andhra Pradesh",885767,112965,998732,484400,137200,621600,1370167,250165,1620332,9.41
"Gujarat",228343,40474,268817,948312,199526,1147838,1176655,240000,1416655,8.23
"Maharashtra",587519,41769,629288,494543,261412,755955,1082062,303181,1385243,8.05
"Madhya Pradesh",517051,26881,543932,300190,39940,340130,817241,66821,884062,5.14
"Karnataka",501814,34921,536734,239389,84714,324103,741202,119635,860837,5
"Rajasthan",288581,26053,314633,244056,68669,312725,532637,94721,627358,3.65
"Odisha",504930,43132,548062,52795,14321,67116,557725,57453,615179,3.57
"Kerala",262828,71404,334231,114809,53040,167849,377636,124444,502080,2.92
"Bihar",351003,24749,375751,51527,20801,72328,402530,45550,448080,2.6
"Punjab",133420,28212,161633,148610,77078,225688,282031,105290,387320,2.25
"Jharkhand",278690,17984,296674,29426,9133,38559,308116,27117,335233,1.95
"Jammu & Kashmir",122626,17615,140241,70603,12259,82862,193230,29874,223103,1.3
"Assam",143393,46526,189919,14289,14351,28640,157682,60877,218559,1.27
"Delhi",3117,2659,5776,65239,133683,198921,68356,136342,204697,1.19
"Haryana",67544,13330,80874,75300,33488,108788,142844,46818,189662,1.1
"Chhattisgarh",109863,9199,119062,36559,9057,45616,146423,18255,164678,0.96
"Uttaranchal",55345,14244,69588,14030,14100,28131,69375,28344,97719,0.57
"Himachal Pradesh",71347,8329,79676,7523,4193,11716,78870,12522,91392,0.53
"Tripura",54954,7179,62134,5875,1772,7646,60829,8951,69780,0.41
"Manipur",27679,887,28565,11584,864,12448,39263,1751,41014,0.24
"Meghalaya",13741,4132,17873,832,750,1583,14573,4883,19456,0.11
"Puducherry",1847,614,2461,8872,4169,13041,10720,4782,15502,0.09
"Goa",2161,1744,3905,2559,2256,4815,4720,4000,8720,0.05
"Nagaland",5258,547,5805,1105,251,1357,6363,799,7162,0.04
"Chandigarh",477,298,775,3799,662,4461,4276,960,5236,0.03
"Mizoram",2175,151,2326,941,736,1676,3116,887,4003,0.02
"A & N. Islands",1698,257,1954,405,541,946,2103,798,2901,0.02
"Daman & Diu",378,387,765,1223,141,1364,1601,528,2129,0.01
"Dadra & N. Haveli",566,469,1035,374,255,628,939,724,1663,0.01
"Arunachal Pradesh",622,244,866,218,336,554,840,579,1419,0.01
"Sikkim",718,43,762,200,229,429,918,272,1190,0.01
"Lakshadweep",293,28,322,123,26,149,416,54,470,0
"All India",9138228,976854,10115082,5291761,1803426,7095188,14429989,2780280,17210269,100
