-----
{
 "description": "The table refers to the state's net domestic product at current prices for the base year 1993-94. The estimate of net state domestic product is arrived at by deducting the consumption of fixed capital from the gross state domestic product for each sector.", 
 "file_name": "PunjabNSDPcurrent_1.csv", 
 "title": "Download CSV for Punjab Net State Domestic Product at factor cost at Current Prices for the base year 1993-94", 
 "url": "http://data.gov.in/sites/default/files/PunjabNSDPcurrent_1.csv"
}
-----
"Sector","1993-1994","1994-1995","1995-1996","1996-1997","1997-1998","1998-1999","1999-2000","2000-2001","2001-2002","2002-2003","2003-2004","2004-2005"
"Agriculture","1296166","1424825","1532169","1792684","1874965","2054443","2313753","2471565","2562219","2490775","2733305","2940753"
"Foresty and Logging","3916","6567","6485","7947","10826","11053","25141","20902","26942","25381","6146","6807"
"Fishing","5112","6027","6953","9132","10517","14420","14979","16426","18251","20899","25453","29525"
"Mining and Quarrying","312","217","297","282","536","454","420","322","1021","2658","2889","3015"
"Sub total of primary","1305506","1437636","1545904","1810045","1896844","2080370","2354293","2509215","2608433","2539713","2767793","2980100"
"Manufacturing","389805","451429","514304","560420","611472","712281","747293","812424","794322","851224","862891","894932"
"Registered","270826","309955","337513","363398","398203","479059","499589","546594","499739","557193","557314","574535"
"Unregistered","118979","141474","176791","197022","213269","233222","247704","265830","294583","294031","305577","320397"
"Construction","121370","134056","176656","179318","248206","316392","267691","302100","352689","391480","465072","552459"
"Electricity, Gas and water Supply","25335","42675","67142","60189","51133","121005","127519","166267","204110","196131","264868","312465"
"Sub total of secondary","536510","628160","758102","799927","910811","1149678","1142503","1280791","1351121","1438835","1592831","1759856"
"Transport Storage and Communication","66193","77862","100415","115790","143797","185510","208943","193249","242055","281102","331806","374874"
"Railways","0","0","0","0","0","0","0","0","0","0","0","0"
"Transport by other means","66193","77862","100415","115790","143797","185510","208943","193249","242055","281102","331806","374874"
"Storage","0","0","0","0","0","0","0","0","0","0","0","0"
"Communication","0","0","0","0","0","0","0","0","0","0","0","0"
"Trade, hotels and restaurants","354717","399621","430748","484281","533522","583007","647159","744569","830436","885224","990924","1090112"
"Banking and Insurance","94480","112776","144468","196331","231454","218092","263054","285087","316942","377024","426887","495573"
"Real estate, ownership of dwelling and business","115462","136883","139417","143973","146819","151175","156799","159814","221777","242229","264448","288777"
"Pubic Administration","104647","111598","127387","154017","190810","253655","275897","288859","304640","342878","406163","455512"
"Other Services","129241","148262","175341","206864","255842","339715","377087","422688","425817","441309","447547","456185"
"Sub total of tertiary","864740","987002","1117776","1301256","1502244","1731154","1928939","2094266","2341667","2569766","2867775","3161033"
"State domestic product","2706756","3052798","3421782","3911228","4309899","4961202","5425735","5884272","6301221","6548314","7228399","7900989"

"Figures are in Rs. Lakh"
