-----
{
 "description": "The table refers to the state's gross domestic product at current prices for the base year 1993-94.", 
 "file_name": "GujaratGSDPcurrent_1.csv", 
 "title": "Download CSV for Gujarat Gross State Domestic Product at factor cost at Current Prices for the base year 1993-94", 
 "url": "http://data.gov.in/sites/default/files/GujaratGSDPcurrent_1.csv"
}
-----
"Sector","1993-1994","1994-1995","1995-1996","1996-1997","1997-1998","1998-1999","1999-2000","2000-2001","2001-2002","2002-2003","2003-2004","2004-2005"
"Agriculture","979343","1509968","1349158","1933211","1923763","2253854","1645000","1474600","1840300","1769100","2848700","2541300"
"Foresty and Logging","43365","55550","36198","63235","38543","40351","38800","24600","28400","53200","53900","63200"
"Fishing","78791","101732","96122","98933","118908","124792","137600","118700","143100","160500","143500","145500"
"Mining and Quarrying","151018","161558","169846","186599","194463","195136","222900","291900","307700","510900","587800","670000"
"Sub total of primary","1252517","1828808","1651324","2281978","2275677","2614133","2044300","1909800","2319500","2493700","3633900","3420000"
"Manufacturing","1390435","1838703","2314484","2709611","2674775","3110275","3440500","3282300","3536100","4228300","4830200","5339600"
"Registered","943448","1313207","1670526","1999804","1985221","2264672","2461700","2236400","2407800","3041900","3438300","3774300"
"Unregistered","446987","525496","643958","709807","689554","845603","978800","1045900","1128300","1186400","1391900","1565300"
"Construction","224331","244185","292027","307365","405538","486119","659200","570500","538000","715100","801300","975800"
"Electricity, Gas and water Supply","144747","161602","232258","271036","308943","331091","189300","259600","414500","487200","529000","574000"
"Sub total of secondary","1759513","2244490","2838769","3288012","3389256","3927485","4289000","4112400","4488600","5430600","6160500","6889400"
"Transport Storage and Communication","329603","401370","478232","529784","650988","723694","750500","811500","895900","980100","1101300","1219300"
"Railways","69214","87984","98939","89338","94306","79713","79200","84300","96300","108100","110400","120900"
"Transport by other means","195135","233455","273106","321833","397541","448675","494700","543100","575400","642600","710500","774400"
"Storage","1272","1323","1827","1984","2418","2602","2800","3000","3800","3200","3300","3600"
"Communication","63982","78608","104360","116629","156723","192704","173800","181100","220400","226200","277100","320400"
"Trade, hotels and restaurants","520016","668576","792954","954186","1086296","1202907","1209000","1312100","1503300","1767700","2075600","2422800"
"Banking and Insurance","332255","376824","494881","467596","515118","541052","751900","634900","739600","927500","1008700","1179000"
"Real estate, ownership of dwelling and business","311589","337374","363428","392771","425373","506271","603100","721000","773200","843800","955700","1070300"
"Pubic Administration","157435","182056","212415","237272","280291","406348","484600","477600","474400","483200","502100","511300"
"Other Services","256501","312080","356558","432137","495761","608562","756800","869300","958100","1042400","1133100","1242300"
"Sub total of tertiary","1907399","2278280","2698468","3013746","3453827","3988834","4555900","4826400","5344500","6044700","6776500","7645000"
"State domestic product","4919429","6351578","7188561","8583736","9118760","10530452","10889200","10848400","12152500","13969000","16570800","17954400"

"Figures are in Rs. Lakh"
