-----
{
 "description": "This data pertains to public account disbursements (major head-wise) of all states including UTs and Union Governments from year 2000 to 2011.", 
 "file_name": "Public_Account_Disbursements_FY_2000-11.xls", 
 "title": "Download XLS for Public Account Disbursements FY 2000-11", 
 "url": "http://data.gov.in/sites/default/files/Public_Account_Disbursements_FY_2000-11.xls"
}
-----
-----
{
 "description": "This data pertains to revenue receipts (sector-wise) of all states including UTs and Union Governments from year 2000 to 2011.", 
 "file_name": "Revenue_Receipts_FY_2000-11.xls", 
 "title": "Download XLS for Revenue Receipts FY 2000-11", 
 "url": "http://data.gov.in/sites/default/files/Revenue_Receipts_FY_2000-11.xls"
}
-----
-----
{
 "description": "This data pertains to public account receipts (major head-wise) of all states including UTs and Union Governments from year 2000 to 2011.", 
 "file_name": "Public_Account_Receipts_FY_2000-11.xls", 
 "title": "Download XLS for Public Account Receipts FY 2000-11", 
 "url": "http://data.gov.in/sites/default/files/Public_Account_Receipts_FY_2000-11.xls"
}
-----
-----
{
 "description": "This data pertains to total expenditure and disbursements (sector-wise) of all states including UTs and Union Governments from year 2000 to 2011.", 
 "file_name": "Total_Expenditure_And_Disbursements_FY_2000-11.xls", 
 "title": "Download XLS for Total Expenditure And Disbursements FY 2000-11", 
 "url": "http://data.gov.in/sites/default/files/Total_Expenditure_And_Disbursements_FY_2000-11.xls"
}
-----
"Sector","Cat","Identity","FY 00","FY 01","FY 02","FY 03","FY 04","FY 05","FY 06","FY 07","FY 08","FY 09","FY 10","FY 11"
"TLA-D","A","A Union Govt",27359.2618,27761.3441,38613.7812,36221.7162,31330.4049,40107.4624,12492.7554,10018.9714,11776.6006,14585.5395,16114.8044,40640.5083
"TLA-D","B","A UT Puducherry",9.3403,14.5387,7.3241,5.4268,4.9471,5.4652,3.8476,3.0847,2.6789,2.874,2.1678,2.0272
"TLA-D","B","Andhra Pradesh",1946.7545,1389.0878,1697.5364,1235.4419,1493.629,1593.1391,756.4937,906.6948,2920.7206,3413.3734,1589.8151,3314.9287
"TLA-D","B","Arunachal Pradesh",2.8523,2.74,4.9034,2.985,3.5043,5.9664,3.6841,4.7749,2.9716,27.2432,205.4584,6.3148
"TLA-D","B","Assam",133.0444,216.9178,82.2031,131.0111,127.5891,974.1877,105.6217,80.6332,142.8892,88.7447,99.2278,70.8823
"TLA-D","B","Bihar",0.0,680.4582,533.7162,747.1888,2568.9233,1127.844,1747.8193,315.3178,272.6958,551.0494,896.7836,1102.6354
"TLA-D","B","Chattisgarh",1071.794,3.7427,49.5225,57.6989,557.6833,113.0409,337.4825,771.1315,500.2766,490.7468,896.7924,566.5522
"TLA-D","B","D NCT Delhi",1873.4836,2608.8586,2788.8352,3756.7333,4103.1696,3320.7681,2900.2649,3294.2443,3649.5554,4217.3167,5701.299,6364.7285
"TLA-D","B","Goa",7.9129,15.4292,5.8456,12.2008,9.8291,7.4604,7.0502,8.1417,24.5968,28.6655,37.2207,15.9236
"TLA-D","B","Gujarat",626.0464,917.1689,229.0431,345.664,2424.7983,739.5737,704.2219,373.6544,428.76,353.7526,427.6032,687.9913
"TLA-D","B","Haryana",286.3106,282.0701,301.1789,456.4339,2429.3175,208.0647,176.6726,184.7221,285.5013,332.3092,829.6912,721.8696
"TLA-D","B","Himachal Pradesh",0.0,40.2738,30.3466,28.3808,19.9094,23.7843,14.1323,25.7515,13.9356,89.6089,69.6736,226.5569
"TLA-D","B","Jammu and Kashmir",60.2607,58.5846,47.1163,340.1989,68.2956,65.9994,53.1506,43.8917,38.2693,42.4155,49.1192,71.6384
"TLA-D","B","Jharkhand",90.6407,23.4627,329.1799,284.9215,133.5344,576.7923,3746.8399,410.8084,597.6603,418.1925,319.9752,307.5646
"TLA-D","B","Karnataka",316.5869,511.3009,514.4726,627.5745,1011.2043,611.4242,299.6,357.2271,756.7436,731.3436,981.5843,1737.9357
"TLA-D","B","Kerala",316.631,270.6885,160.7511,250.0138,1291.9397,196.4846,287.1165,349.3895,893.1597,983.686,876.6790105,761.7382
"TLA-D","B","Madhya Pradesh",342.8544,295.714,598.5812,480.6954,204.3634,3310.8621,834.4453,953.0696,1154.8754,1861.4565,3816.8822,3714.7333
"TLA-D","B","Maharastra",3926.9802,-726.0402,59.3873,1704.0838,1901.9884,2750.6608,4261.6197,2321.6234,1225.1573,1280.5947,1261.0755,959.0773
"TLA-D","B","Manipur",2.6018,0.82,4.1392,1.5525,1.9591,20.2706,60.5893,56.8458,7.971,0.5818,6.893,3.8001
"TLA-D","B","Meghalaya",68.6264,88.9057,43.0022,74.8789,69.7943,35.9273,10.6266,5.9612,26.7285,50.2094,26.6529,41.6503
"TLA-D","B","Mizoram",42.3412,30.5954,38.5041,34.7232,37.2276,34.409,34.0933,0.25,6.1218,17.4065,24.9397,29.868
"TLA-D","B","Nagaland",10.2137,17.3528,3.4309,2.3339,5.0794,0.3365,0.6121,0.2405,2.6123,1.4617,3.5519,4.1214
