-----
{
 "description": "The table refers to Block wise Distribution of Surface Flow Schemes by Status. The report has been sourced from 3rd census of minor irrigation scheme (2000-01) from Ministry of Water Resources.", 
 "file_name": "srfcflowdistr4.6.csv", 
 "title": "Download CSV for Blockwise Distribution of Surface Flow Schemes by Status", 
 "url": "http://data.gov.in/sites/default/files/srfcflowdistr4.6.csv"
}
-----
STATENAME,DISTNAME,BLOCKNAME,In use,Not in use - Temporarily,Not in use - Salinity,Not in use - Dried up,Not in use - Destroyed,Not in use - Others,Total - Not in use,Grand total ( Use  + Not in use)
ANDHRA PRADESH,ANANTHAPUR,KALYANDURG,3,1,0,0,0,1,2,5
ANDHRA PRADESH,ANANTHAPUR,KAMBADUR,2,16,18,51,0,1,86,88
ANDHRA PRADESH,ANANTHAPUR,KANAGANAPALLE,11,27,1,31,0,10,69,80
ANDHRA PRADESH,ANANTHAPUR,KANEKAL,12,2,2,0,0,0,4,16
ANDHRA PRADESH,ANANTHAPUR,KOTHACHERUVU,0,15,0,2,0,0,17,17
ANDHRA PRADESH,ANANTHAPUR,KUDAIR,1,5,0,98,0,1,104,105
ANDHRA PRADESH,ANANTHAPUR,KUNDURPI,18,0,12,0,0,0,12,30
ANDHRA PRADESH,ANANTHAPUR,LEPAKSHI,14,32,0,0,0,0,32,46
ANDHRA PRADESH,ANANTHAPUR,MADAKASIRA,4,40,0,0,0,1,41,45
ANDHRA PRADESH,ANANTHAPUR,MUDIGUBBA,9,10,0,30,0,34,74,83
ANDHRA PRADESH,ANANTHAPUR,NALLACHERUVU,57,0,0,0,0,0,0,57
ANDHRA PRADESH,ANANTHAPUR,NALLAMADA,0,1,0,0,0,0,1,1
ANDHRA PRADESH,ANANTHAPUR,NAMBULIPULIKUNTA,3,47,0,17,0,0,64,67
ANDHRA PRADESH,ANANTHAPUR,NARPALA,6,36,0,0,5,0,41,47
ANDHRA PRADESH,ANANTHAPUR,OBULADEVARACHERUVU,35,0,0,0,0,0,0,35
ANDHRA PRADESH,ANANTHAPUR,PAMIDI,23,3,1,16,8,17,45,68
ANDHRA PRADESH,ANANTHAPUR,PARIGI,22,0,1,0,0,0,1,23
ANDHRA PRADESH,ANANTHAPUR,PEDDAPAPPUR,35,0,0,0,0,0,0,35
ANDHRA PRADESH,ANANTHAPUR,PEDDAVADUGUR,24,9,0,11,2,24,46,70
