-----
{
 "description": "The table refers to the state's gross domestic product at current prices for the base year 2004-05.", 
 "file_name": "BiharGSDPcurrent_1.csv", 
 "title": "Download CSV for Bihar Gross State Domestic Product at factor cost at Current Prices for the base year 2004-05", 
 "url": "http://data.gov.in/sites/default/files/BiharGSDPcurrent_1.csv"
}
-----
"Sector","2004-05","2005-06","2006-07","2007-08","2008-09","2009-10","2010-11","2011-12","2012-13"
"Agriculture","2067296","2082723","2714782","2704872","3665967","3695423","4728294","6123022","6931176"
"Foresty and Logging","272435","279444","310476","311205","321477","324085","351443","377888","406288"
"Fishing","113248","116399","131682","144186","235207","243571","236617","324439","377080"
"Ag and Allied","2452979","2478566","3156940","3160263","4222652","4263079","5316354","6825350","7714545"
"Mining and Quarrying","4211","9721","7384","7794","14286","12241","11763","12449","12443"
"Sub total of primary","2457190","2488287","3164324","3168057","4236938","4275320","5328117","6837798","7726988"
"Manufacturing","437930","425587","485581","642928","836347","828222","1109723","1304682","1536651"
"Registered","112282","64298","55008","138540","305025","259356","477265","600140","752277"
"Unregistered","325648","361289","430573","504388","531323","568866","632458","704542","784374"
"Construction","513809","664901","899219","1155733","1449673","1900609","2237113","2664576","3085870"
"Electricity, Gas and water Supply","114640","116207","113668","139131","145964","136540","182081","294938","345635"
"Sub total of secondary","1066379","1206695","1498468","1937791","2431984","2865371","3528917","4264196","4968156"
"Industry","1070590","1216416","1505852","1945585","2446270","2877612","3540681","4276644","4980600"
"Transport Storage and Communication","461221","509930","595579","677521","777570","932392","1034353","1200869","1347159"
"Railways","145056","157961","198287","229890","235677","284463","280747","310308","342982"
"Transport by other means","199704","221289","259708","298133","367641","430361","538234","695725","826851"
"Storage","6241","6556","7844","9194","10945","13177","15269","17728","20570"
"Communication","110221","124123","129741","140303","163307","204390","200102","177108","156756"
"Trade, hotels and restaurants","1628606","1607886","2073040","2520094","3107232","3847038","4641358","5887756","7469626"
"Banking and Insurance","258589","273118","319163","352559","395254","493502","636273","781407","959646"
"Real estate, ownership of dwelling and business","404055","477766","576991","684381","795388","1007123","1258753","1593586","2019854"
"Pubic Administration","517870","547076","584647","637600","855613","1011066","1229940","1495964","1659665"
"Other Services","984207","1138261","1261501","1389992","1627933","2022880","2155805","2587077","3287707"
"Sub total of tertiary","4254548","4554037","5410922","6262147","7558991","9314001","10956483","13546659","16743657"
"State domestic product","7778116","8249020","10073714","11367995","14227913","16454691","19813517","24648653","29438801"

"Figures are in Rs. Lakh"
