-----
{
 "description": "The table refers to the state's gross domestic product at constant prices for the base year 1993-94.", 
 "file_name": "ManipurGSDPconst.csv", 
 "title": "Download CSV for Manipur Gross State Domestic Product at factor cost at Constant Prices for the base year 1993-94", 
 "url": "http://data.gov.in/sites/default/files/ManipurGSDPconst.csv"
}
-----
"Sector","1993-1994","1994-1995","1995-1996","1996-1997","1997-1998","1998-1999","1999-2000","2000-2001","2001-2002","2002-2003","2003-2004","2004-2005"
"Agriculture","38164","35455","35804","38456","40241","40118","42997","45318","46777","45253","46636","48062"
"Foresty and Logging","4224","3713","3226","3105","6212","6709","2787","3183","3559","3553","3547","3966"
"Fishing","4031","4208","4379","4448","4800","5649","6188","6402","6275","6310","6345","6380"
"Mining and Quarrying","5","6","3","0","1","0","0","0","0","0","0","0"
"Sub total of primary","46424","43382","43412","46009","51254","52476","51972","54903","56611","55116","56528","58408"
"Manufacturing","9729","9568","10289","11101","11401","12735","14996","13635","15984","17139","18398","19959"
"Registered","372","366","504","573","379","203","124","174","238","325","444","527"
"Unregistered","9357","9202","9785","10528","11022","12532","14872","13461","15746","16814","17954","19432"
"Construction","8741","9543","12309","15552","16546","15328","19414","16182","20688","27192","28691","33663"
"Electricity, Gas and water Supply","5872","4933","4040","3402","3292","5983","6975","6367","5552","2828","1440","1510"
"Sub total of secondary","24342","24044","26638","30055","31239","34046","41385","36184","42224","47159","48529","55132"
"Transport Storage and Communication","5677","6012","6361","6852","7521","8065","8309","10040","11185","12400","13796","15118"
"Railways","1","1","1","1","1","1","1","1","1","1","1","1"
"Transport by other means","4835","5049","5271","5500","5959","6293","6526","7578","8347","8936","9567","10243"
"Storage","6","5","6","6","6","6","6","6","7","6","5","6"
"Communication","835","957","1083","1345","1555","1765","1776","2455","2830","3457","4223","4868"
"Trade, hotels and restaurants","14353","13427","13545","14855","17506","18558","18459","16994","18901","18940","18979","19119"
"Banking and Insurance","1932","1622","1567","2187","2463","2507","2818","2535","3461","4278","4597","5326"
"Real estate, ownership of dwelling and business","5158","5398","5653","5924","6212","6520","6849","7372","7746","8154","8583","9077"
"Pubic Administration","18238","19063","20151","21802","22774","21620","28032","27459","31673","28679","29022","31454"
"Other Services","14685","14767","15523","17075","18568","17075","22352","23743","24346","24807","24959","27552"
"Sub total of tertiary","60043","60289","62800","68695","75044","74345","86819","88143","97312","97258","99936","107646"
"State domestic product","130809","127715","132850","144759","157537","160867","180176","179230","196147","199533","204993","221186"

"Figures are in Rs. Lakh"
