-----
{
 "description": "The table refers to statewise potential utilized through dugwells. The report has been sourced from 2nd census of Minor Irrigation Scheme (1993-94) from Ministry of Water Resources.", 
 "file_name": "Natdgwltab1.14.csv", 
 "title": "Download CSV for State wise Irrigation potential utilised through Dugwells for 2nd census of minor irrigation schemes", 
 "url": "http://data.gov.in/sites/default/files/Natdgwltab1.14.csv"
}
-----
"State","Actual area irrigated (Ha) - Kharif","Actual area irrigated (Ha) - Rabi","Actual area irrigated (Ha) - Perennial","Actual area irrigated (Ha) - Others","Total"
"ANDHRA PRADESH",676518,499160,58911,10577,1245166
"ARUNACHAL PRADESH",NA,NA,NA,NA,NA
"ASSAM",30,16,0,1,47
"BIHAR",139148,160852,15819,8834,324653
"GOA",9,935,2086,408,3438
"GUJARAT",NA,NA,NA,NA,NA
"HARYANA",60448,60451,0,0,120899
"HIMACHAL PRADESH",1993,2465,47,22,4527
"JAMMU & KASHMIR",585,533,0,0,1118
"KARNATAKA",253822.88,142620.71,76176.04,28333.73,500953.36
"KERALA",8866,9583,47369,13493,79311
"MADHYA PRADESH",221083,1776693,18507,4444,2020727
"MAHARASHTRA",NA,NA,NA,NA,NA
"MANIPUR",NA,NA,NA,NA,NA
"MEGHALAYA",6,5,0,0,11
"MIZORAM",362,247,6,0,615
"NAGALAND",234,87,1,0,322
"ORISSA",45880,36847,7912,1146,91785
"PUNJAB",36173,41369,1666,579,79787
"RAJASTHAN",160598,2870268,23905,31723,3086494
"SIKKIM",NA,NA,NA,NA,NA
"TAMIL NADU",1807695.74,1716097.49,616803.68,187988.72,4328585.63
"TRIPURA",410,649,14,48,1121
"UTTAR PRADESH",72550,227057,19201,25744,344552
"WEST BENGAL",8115,12111,732,1502,22460
"ANDAMAN & NICOBARS",NA,NA,NA,NA,NA
"CHANDIGARH",NA,NA,NA,NA,NA
"DADRA & NAGAR HAVELI",393,170,157,22,742
"DAMAN & DIU",NA,NA,NA,NA,NA
"DELHI",NA,NA,NA,NA,NA
"LAKSHADWEEP",NA,NA,NA,NA,NA
"PONDICHERRY",136,174,66,17,393
"ALL INDIA",3495055.62,7558390.2,889378.72,314882.45,12257706.99
