-----
{
 "description": "The table refers to the state's gross domestic product at constant prices for the base year 1993-94.", 
 "file_name": "TripuraGSDPconst_1.csv", 
 "title": "Download CSV for Tripura Gross State Domestic Product at factor cost at Constant Prices for the base year 1993-94", 
 "url": "http://data.gov.in/sites/default/files/TripuraGSDPconst_1.csv"
}
-----
"Sector","1993-1994","1994-1995","1995-1996","1996-1997","1997-1998","1998-1999","1999-2000","2000-2001","2001-2002","2002-2003","2003-2004"
"Agriculture","52300","48050","52133","56559","57704","63209","65338","63802","70263","70596","72849"
"Foresty and Logging","4462","4438","4975","4570","4735","4500","5281","5056","5155","4478","4297"
"Fishing","5949","6094","6244","7016","6582","6734","6853","7020","6908","3881","3367"
"Mining and Quarrying","1332","1121","1556","1767","2776","4548","3083","2828","2831","2856","2802"
"Sub total of primary","64043","59703","64908","69912","71797","78991","80555","78706","85157","81811","83315"
"Manufacturing","6018","5734","6100","6284","6445","5083","6207","12206","9284","6961","7220"
"Manu-Registered","1549","1238","1618","1683","1939","1900","1646","7242","4394","2557","2855"
"Manu-Unregistered","4469","4496","4482","4601","4506","3183","4561","4964","4890","4404","4365"
"Construction","11420","15516","16757","19384","24335","30645","33211","70568","57599","65412","77494"
"Electricity, Gas and water Supply","776","-202","522","760","825","2389","5316","2793","6281","10491","12435"
"Sub total of secondary","18214","21048","23379","26428","31605","38117","44734","85567","73164","82864","97149"
"Transport Storage and Communication","9332","10022","10573","11923","12793","13586","14777","17236","22204","30793","39585"
"Railways","22","28","19","30","31","22","22","16","27","31","34"
"Transport by other means","7163","7625","7458","8583","8875","9121","10298","10220","10655","12093","12589"
"Storage","155","200","205","213","310","321","335","341","344","333","333"
"Communication","1992","2169","2891","3097","3577","4122","4122","6659","11178","18336","26629"
"Trade, hotels and restaurants","28424","26856","29872","33778","38124","38743","39313","42369","42990","42240","43005"
"Banking and Insurance","3715","4047","4632","5098","5776","6278","6278","6872","7255","9035","9896"
"Real estate, ownership of dwelling and business","4364","4539","4628","4721","5020","7938","8258","8594","8764","11901","13040"
"Pubic Administration","24400","24952","26472","32296","38738","39831","40521","44769","50854","53418","57237"
"Other Services","25231","25809","27387","28163","30291","33775","41128","42002","44748","50207","52773"
"Sub total of tertiary","95466","96225","103564","115979","130742","140151","150275","161842","176815","197594","215536"
"State domestic product","177723","176976","191851","212319","234144","257259","275564","326115","335136","362269","395178"

"Figures are in Rs. Lakh"
