-----
{
 "description": "The table refers to district wise distribution of shallow tubewells according to horse power of lifting device . The report has been sourced from 2nd census of minor irrigation scheme(1993-94) from ministry of water resources.", 
 "file_name": "Districtshtbwl2.10.csv", 
 "title": "Download CSV for District wise Distribution of Shallow Tubewells according to Horse Power of Lifting Device for 2nd Census of Minor Irrigation Schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/Districtshtbwl2.10.csv"
}
-----
State,District,Horse Power (0-2),Horse Power (2 - 4),Horse Power (4 - 6),Horse Power (6 -8),Horse Power (8 - 10),Horse Power (Above 10),Unspecified,Total
ANDHRA PRADESH,ADILABAD,2,1397,5845,6,11,3,1,7265
ANDHRA PRADESH,ANANTHAPUR,106,181,16060,4464,407,76,7,21301
ANDHRA PRADESH,CHITTOOR,15,1828,6141,1856,264,32,2,10138
ANDHRA PRADESH,CUDDAPAH,13,490,7249,2650,2016,355,36,12809
ANDHRA PRADESH,EAST GODAVARI,323,127,14149,2648,2542,1054,4,20847
ANDHRA PRADESH,GUNTUR,80,7265,8192,298,53,16,16,15920
ANDHRA PRADESH,KARIMNAGAR,2,465,469,20,21,5,8,990
ANDHRA PRADESH,KHAMMAM,3,958,2675,139,46,9,4,3834
ANDHRA PRADESH,KRISHNA,4,2120,10179,253,101,27,11,12695
ANDHRA PRADESH,KURNOOL,3,294,7283,896,215,41,10,8742
ANDHRA PRADESH,MAHABOOB NAGAR,9,1360,19562,372,62,25,38,21428
ANDHRA PRADESH,MEDAK,156,3830,25796,925,38,19,142,30906
ANDHRA PRADESH,NALGONDA,9,5285,8209,146,25,31,14,13719
ANDHRA PRADESH,NELLORE,114,6209,22278,1331,215,46,1,30194
ANDHRA PRADESH,NIZAMABAD,30,1639,43685,245,4,84,520,46207
ANDHRA PRADESH,PRAKASAM,11,672,8937,995,327,19,1,10962
ANDHRA PRADESH,RANGA REDDY,131,2546,13384,354,28,7,4,16454
ANDHRA PRADESH,SRIKAKULUM,159,493,4501,239,97,19,175,5683
ANDHRA PRADESH,VIJAYA NAGARAM,4,443,3372,46,90,9,164,4128
ANDHRA PRADESH,VISAKHAPATNAM,62,257,4480,390,72,46,81,5388
ANDHRA PRADESH,WARANGAL,9,2213,1197,67,19,5,1,3511
ANDHRA PRADESH,WEST GODAVARI,40,172,10040,1708,1644,429,43,14076
ASSAM,BARPETA,1,1,2359,0,0,2,0,2363
ASSAM,BONGAIGAON,0,0,852,0,0,0,0,852
ASSAM,CACHAR,0,0,1,0,0,0,0,1
ASSAM,DARRANG,1,151,2056,42,0,1,0,2251
ASSAM,DHEMAJI,0,0,714,0,0,3,0,717
ASSAM,DHUBRI,3,2,2469,4,8,2,0,2488
ASSAM,DIBRUGARH,0,0,1459,0,0,2,0,1461
ASSAM,GOALPARA,0,0,380,0,0,1,0,381
ASSAM,GOLAGHAT,0,0,494,0,0,1,0,495
ASSAM,HAILAKANDI,0,3,76,0,1,0,0,80
ASSAM,JORHAT,1,0,1474,2,0,11,2,1490
ASSAM,KAMRUP,0,0,1259,0,0,9,0,1268
ASSAM,KARBI ANGLONG,0,0,81,0,0,0,0,81
ASSAM,KARIMGANJ,0,1,83,0,0,0,0,84
ASSAM,KOKRAJHAR,0,0,757,0,0,1,0,758
ASSAM,LAKHIMPUR,0,0,1166,0,0,0,0,1166
ASSAM,MARIGAON,2,116,1276,1,0,0,0,1395
ASSAM,NAGAON,0,0,3246,0,0,11,0,3257
ASSAM,NALBARI,0,69,1347,0,0,1,0,1417
ASSAM,SIBSAGAR,0,0,788,0,0,0,0,788
ASSAM,SONITPUR,1,3,2858,0,0,5,0,2867
ASSAM,TINSUKIA,0,0,1412,0,0,0,0,1412
BIHAR,ARARIA,100,4,12116,806,11,21,33,13091
BIHAR,AURANGABAD,76,1359,6851,251,12,13,215,8777
BIHAR,BANKA,38,227,5613,6,2,3,36,5925
BIHAR,BEGUSARAI,40,12,12682,8636,85,23,45,21523
BIHAR,BHABUA,66,4033,3850,2829,834,19,10,11641
BIHAR,BHAGALPUR,73,153,6761,3421,137,22,31,10598
BIHAR,BHOJPUR,65,33,6701,7060,789,20,137,14805
BIHAR,BUXAR,145,195,5832,4784,1926,39,105,13026
BIHAR,CHAMPARAN EAST,53,186,30121,117,7,62,61,30607
BIHAR,CHAMPARAN WEST,25,263,20160,535,51,98,26,21158
BIHAR,CHATRA,11,27,98,0,0,0,6,142
BIHAR,DARBHANGA,17,37,11800,13,1,4,12,11884
BIHAR,DEOGHAR,0,0,1,0,0,0,0,1
BIHAR,DHANBAD,0,0,1,0,0,0,4,5
BIHAR,GAYA,304,4167,19855,87,57,158,69,24697
BIHAR,GIRIDIH,4,171,154,0,0,28,12,369
BIHAR,GODDA,1,37,571,0,0,0,5,614
BIHAR,GOPALGANJ,27,5,16607,522,9,9,1,17180
BIHAR,HAZARIBAG,0,0,3,0,0,0,0,3
BIHAR,JAMUI,21,543,2549,9,13,1,17,3153
BIHAR,JEHANABAD,29,1229,16238,300,3,26,0,17825
BIHAR,KATIHAR,523,60,23124,695,35,66,15,24518
BIHAR,KHAGARIA,11,3,2659,7815,215,5,0,10708
BIHAR,KISHANGANJ,1,3,8874,1,0,24,44,8947
BIHAR,KODARMA,28,31,145,0,2,0,8,214
BIHAR,LAKHISARAI,60,269,4041,50,0,7,9,4436
BIHAR,MADHEPURA,9,4,12843,1290,19,2,7,14174
BIHAR,MADHUBANI,76,30,14048,5,1,59,175,14394
BIHAR,MUNGER,4,61,2876,32,12,8,108,3101
BIHAR,MUZAFFARPUR,32,101,30514,172,10,40,27,30896
BIHAR,NALANDA,391,201,15720,63,26,85,123,16609
BIHAR,NAWADA,1155,4875,9558,73,11,76,153,15901
BIHAR,PAKUR,0,1,199,0,0,0,1,201
BIHAR,PATNA,95,2002,20054,1028,121,50,99,23449
BIHAR,PURNIA,11,12,23798,180,0,22,61,24084
BIHAR,RANCHI,74,0,2,0,0,0,14,90
BIHAR,ROHTAS,186,2574,9129,4671,314,90,345,17309
BIHAR,SAHARSA,3,0,9759,38,0,2,9,9811
BIHAR,SAHEBGANJ,0,0,1760,2,0,1,1,1764
BIHAR,SAMASTIPUR,978,31,28129,94,158,48,402,29840
BIHAR,SARAN,1655,143,21815,378,162,44,194,24391
BIHAR,SHEIKHPURA,3,60,5232,37,2,6,6,5346
BIHAR,SHEOHAR,1,1,4439,7,1,4,3,4456
BIHAR,SINGHBHUM EAST,66,12,888,25,13,0,274,1278
BIHAR,SINGHBHUM WEST,0,0,0,0,0,0,15,15
BIHAR,SITAMARHI,3,42,14799,32,18,3,15,14912
BIHAR,SIWAN,230,16,23712,2573,172,21,153,26877
BIHAR,SUPAUL,14,3,13119,160,1,13,28,13338
BIHAR,VAISHALI,68,184,20924,236,5,10,9,21436
GOA,NORTH GOA,4,12,2,1,1,0,0,20
GOA,SOUTH GOA,3,3,1,1,0,0,0,8
HARYANA,AMBALA,118,265,5444,4399,1875,2623,20,14744
HARYANA,BHIWANI,838,11,547,8667,7950,453,6,18472
HARYANA,FARIDABAD,168,198,4628,13488,5734,1352,37,25605
HARYANA,GURGAON,228,1216,21133,5476,538,116,33,28740
HARYANA,HISAR,593,102,1820,25257,12113,5479,8,45372
HARYANA,JIND,193,95,5973,19645,3564,181,68,29719
HARYANA,KAITHAL,182,24,10214,16863,3369,227,86,30965
HARYANA,KARNAL,304,2012,19571,24119,5202,959,135,52302
HARYANA,KURUKSHETRA,926,218,6046,15411,9528,3713,65,35907
HARYANA,MEHANDERGARH,497,206,7114,13168,2686,517,42,24230
HARYANA,PANCHKULA,3,13,724,258,156,29,0,1183
HARYANA,PANIPAT,103,921,9956,13551,1663,80,76,26350
