-----
{
 "description": "The table refers to the state's gross domestic product at constant prices for the base year 1993-94.", 
 "file_name": "chattisgarhGSDPconst.csv", 
 "title": "Download CSV for Chhattisgarh Gross State Domestic Product at factor cost at Constant Prices for the base year 1993-94", 
 "url": "http://data.gov.in/sites/default/files/chattisgarhGSDPconst.csv"
}
-----
-----
{
 "description": "The table refers to the state's gross domestic product at constant prices for the base year 1993-94.", 
 "file_name": "chattisgarhGSDPconst.csv", 
 "title": "Download CSV for Chhattisgarh Gross State Domestic Product at factor cost at Constant Prices for the base year 1993-94", 
 "url": "http://data.gov.in/sites/default/files/chattisgarhGSDPconst.csv"
}
-----
"Sector","1993-1994","1994-1995","1995-1996","1996-1997","1997-1998","1998-1999","1999-2000","2000-2001","2001-2002","2002-2003","2003-2004","2004-2005"
"Agriculture","394438","408898","387752","395047","300326","333871","312565","242553","369553","246660","390543","319398"
"Foresty and Logging","40207","42356","40617","41859","44430","43663","47329","48956","54303","58131","63384","60704"
"Fishing","6200","9471","9546","12408","12009","13433","15928","19321","19572","20388","22581","24724"
"Mining and Quarrying","130667","123835","133005","137375","139395","158483","202175","218773","234919","253744","274421","307220"
"Sub total of primary","571512","584560","570920","586689","496160","549450","577997","529603","678347","578923","750929","712046"
"Manufacturing","280344","271290","273426","291498","410879","410920","305602","283517","296121","356976","408664","442756"
"Registered","204279","210265","196825","211946","327011","323272","227001","216205","210653","277662","301277","327393"
"Unregistered","76065","61025","76601","79552","83868","87648","78601","67312","85468","79314","107387","115363"
"Construction","65094","64585","76274","76690","77186","77037","101054","62177","79917","94187","111764","112575"
"Electricity, Gas and water Supply","82916","83321","94325","95028","94424","95441","102720","98096","83151","93403","101954","112876"
"Sub total of secondary","428354","419196","444025","463216","582489","583398","509376","443790","459189","544566","622382","668207"
"Transport Storage and Communication","78433","83564","91652","100360","107039","112278","121928","140513","330831","178201","204308","224108"
"Railways","43272","44557","47500","46683","48202","44781","48799","61260","68115","72626","77287","86366"
"Transport by other means","27574","29867","34729","39890","44030","47365","50789","53043","57970","68848","87465","92422"
"Storage","0","0","0","0","0","0","0","0","0","0","0","0"
"Communication","7587","9140","9423","13787","14807","20132","22340","26210","30064","36727","39556","45320"
"Trade, hotels and restaurants","124516","125032","135432","132196","129302","128559","160756","163202","174682","177668","195769","210960"
"Banking and Insurance","21861","24378","27687","35989","46741","42177","47409","50774","54322","63727","68473","75492"
"Real estate, ownership of dwelling and business","81315","83752","86193","88882","91566","94242","97063","99117","102176","104738","107986","111344"
"Pubic Administration","41662","42658","45712","48300","48050","61994","60639","59968","100304","97511","65403","69605"
"Other Services","69422","72122","78019","85885","88198","102350","103373","115900","103275","102218","130906","142128"
"Sub total of tertiary","417209","431506","464695","491612","510896","541600","591168","629474","690908","724063","772845","833637"
"State domestic product","1417075","1435262","1479640","1541517","1589545","1674448","1678541","1602867","1828444","1847551","2146156","2213889"

"Figures are in Rs. Lakh"
