-----
{
 "description": "The table refers to the state's net domestic product at constant prices for the base year 1993-94. The estimate of net state domestic product is arrived at by deducting the consumption of fixed capital from the gross state domestic product for each sector.", 
 "file_name": "UttarakhandNSDPconst.csv", 
 "title": "Download CSV for Uttarakhand Net State Domestic Product at factor cost at Constant Prices for the base year 1993-94", 
 "url": "http://data.gov.in/sites/default/files/UttarakhandNSDPconst.csv"
}
-----
"Sector","1993-1994","1994-1995","1995-1996","1996-1997","1997-1998","1998-1999","1999-2000","2000-2001","2001-2002","2002-2003","2003-2004","2004-2005"
"Agriculture","176344","186728","200641","201843","200031","204545","203448","217923","207883","211894","222451","227671"
"Foresty and Logging","26431","24776","27129","22151","24634","30858","28645","24727","24857","25585","25683","26632"
"Fishing","403","431","449","459","490","563","595","603","610","656","665","670"
"Mining and Quarrying","7165","8665","7205","4728","3666","6216","8167","7540","11566","12197","33563","35183"
"Sub total of primary","210343","220600","235424","229181","228821","242182","240855","250793","244916","250332","282362","290156"
"Manufacturing","73918","104888","66078","88354","70147","46651","42771","60038","53199","52611","57934","67064"
"Registered","64437","93675","53637","75846","56461","32687","27498","44160","37198","35803","39353","47163"
"Unregistered","9481","11213","12441","12508","13686","13964","15273","15878","16001","16808","18581","19901"
"Construction","37892","37358","44901","45449","52977","65182","61820","66138","87835","114955","121101","151081"
"Electricity, Gas and water Supply","5840","6502","6631","6350","6317","6690","5439","8210","15445","5392","5879","13697"
"Sub total of secondary","117650","148748","117610","140153","129441","118523","110030","134386","156479","172958","184914","231842"
"Transport Storage and Communication","19307","20226","21367","21940","22247","23488","26168","38376","40796","46399","51987","60208"
"Railways","1646","1477","1650","1710","1835","2102","2228","2219","2393","2560","2750","2955"
"Transport by other means","14067","13900","14531","14435","15500","16062","17207","19195","19065","19251","20816","22808"
"Storage","618","677","709","673","728","998","1066","1158","1195","1138","1186","1213"
"Communication","2976","4172","4477","5122","4184","4326","5667","15804","18143","23450","27235","33232"
"Trade, hotels and restaurants","42086","40146","40562","44558","43993","44457","43633","53266","54759","59488","68458","71950"
"Banking and Insurance","24356","26533","27422","39063","48794","42839","44981","48234","50721","61201","65760","73052"
"Real estate, ownership of dwelling and business","29543","30543","31629","32497","33683","35207","36731","39055","40383","41926","43531","46170"
"Pubic Administration","24563","23688","27835","27521","32867","33482","37524","35968","45495","47728","48050","62466"
"Other Services","43085","45906","49084","50728","52844","59699","60147","63542","65091","77501","104041","117774"
"Sub total of tertiary","182940","187042","197899","216307","234428","239172","249184","278441","297245","334243","381827","431620"
"State domestic product","510932","556390","550933","585640","592689","599877","600069","663620","698639","757533","849103","953618"

"Figures are in Rs. Lakh"
