-----
{
 "description": "The table refers to Block wise Culturable Command Area and Potential Created through Shallow Tubewells. The report has been sourced from 3rd census of minor irrigation scheme (2000-01) from Ministry of Water Resources.", 
 "file_name": "shltbdistr2.12.csv", 
 "title": "Download CSV for Blockwise Culturable Command Area and Potential Created through Shallow Tubewells", 
 "url": "http://data.gov.in/sites/default/files/shltbdistr2.12.csv"
}
-----
STATENAME,DISTNAME,BLOCKNAME,Culturable Command Area,Irrigation potential created - Kharif,Irrigation potential created - Rabi,Irrigation potential created - Perennial,Irrigation potential created - Others,Total
ANDHRA PRADESH,ADILABAD,ADILABAD,282,268,71,4,0,343
ANDHRA PRADESH,ADILABAD,BAZARHATHNOOR,343,227,138,0,0,366
ANDHRA PRADESH,ADILABAD,BEJJUR,6,6,0,0,0,6
ANDHRA PRADESH,ADILABAD,BELA,3,0,3,0,0,3
ANDHRA PRADESH,ADILABAD,BELLAMPALLE,4,4,0,0,0,4
ANDHRA PRADESH,ADILABAD,BHAINSA,2681,2634,1907,17,32,4589
ANDHRA PRADESH,ADILABAD,BHEEMINI,55,58,24,0,0,82
ANDHRA PRADESH,ADILABAD,BOATH,1000,987,752,1,2,1741
ANDHRA PRADESH,ADILABAD,CHENNUR,379,380,0,0,0,380
ANDHRA PRADESH,ADILABAD,DAHEGAON,88,88,0,0,0,88
ANDHRA PRADESH,ADILABAD,DILAWARPUR,1064,1064,0,2,6,1073
ANDHRA PRADESH,ADILABAD,GUDIHATHNUR,113,113,2,0,0,115
ANDHRA PRADESH,ADILABAD,ICHODA,444,300,164,30,30,524
ANDHRA PRADESH,ADILABAD,INDERAVELLY,68,83,5,0,0,88
ANDHRA PRADESH,ADILABAD,JAINAD,295,289,61,62,0,412
ANDHRA PRADESH,ADILABAD,JAIPUR,192,192,74,0,0,266
ANDHRA PRADESH,ADILABAD,KERAMERI,8,8,1,0,0,8
ANDHRA PRADESH,ADILABAD,KOTAPALLE,636,485,201,1,0,687
ANDHRA PRADESH,ADILABAD,KOUTHALA,57,57,0,0,2,59
ANDHRA PRADESH,ADILABAD,KUBEER,600,594,322,0,0,916
ANDHRA PRADESH,ADILABAD,KUNTALA,1660,1608,1055,2,5,2670
ANDHRA PRADESH,ADILABAD,LAXMANCHANDA,206,202,157,8,0,367
ANDHRA PRADESH,ADILABAD,LOHESRA,1865,1846,954,7,2,2809
ANDHRA PRADESH,ADILABAD,MAMDA,576,511,162,0,1,673
ANDHRA PRADESH,ADILABAD,MANCHERIAL,16,16,0,0,0,16
ANDHRA PRADESH,ADILABAD,MUDHOLE,1742,1754,820,1,4,2578
ANDHRA PRADESH,ADILABAD,NARNOOR,144,143,77,4,0,223
ANDHRA PRADESH,ADILABAD,NERADIGONDA,299,295,67,0,3,365
ANDHRA PRADESH,ADILABAD,NIRMAL,489,444,221,3,2,671
ANDHRA PRADESH,ADILABAD,REBBANA,21,16,11,0,0,26
ANDHRA PRADESH,ADILABAD,SARANGAPUR,1824,1734,928,60,11,2734
ANDHRA PRADESH,ADILABAD,TALAMADUGU,456,456,449,0,0,905
ANDHRA PRADESH,ADILABAD,TAMSI,339,313,65,0,0,378
ANDHRA PRADESH,ADILABAD,TANDUR,10,10,0,0,0,10
ANDHRA PRADESH,ADILABAD,TANUR,709,557,264,0,0,822
ANDHRA PRADESH,ADILABAD,UTNUR,48,44,29,0,0,73
ANDHRA PRADESH,ADILABAD,VEMANPALLE,99,99,0,0,0,99
ANDHRA PRADESH,ADILABAD,WANKDI,1,1,0,0,0,1
ANDHRA PRADESH,ANANTHAPUR,AGALI,1060,840,822,187,3,1852
ANDHRA PRADESH,ANANTHAPUR,AMADAGUR,392,197,198,129,0,524
ANDHRA PRADESH,ANANTHAPUR,AMARAPURAM,389,288,205,78,0,571
ANDHRA PRADESH,ANANTHAPUR,ANANTAPUR,707,644,304,0,0,948
ANDHRA PRADESH,ANANTHAPUR,ATMAKUR,283,188,124,12,0,324
ANDHRA PRADESH,ANANTHAPUR,BATHALAPALLE,1180,682,487,272,0,1441
ANDHRA PRADESH,ANANTHAPUR,BELUGUPPA,1073,1078,529,0,0,1607
ANDHRA PRADESH,ANANTHAPUR,BOMMANAHAL,1185,1011,570,133,0,1715
ANDHRA PRADESH,ANANTHAPUR,BRAHMASAMUDRAM,770,716,567,4,0,1287
ANDHRA PRADESH,ANANTHAPUR,BUKKAPATNAM,201,94,108,2,0,203
ANDHRA PRADESH,ANANTHAPUR,BUKKARAYASAMUDRAM,1362,1085,701,3,0,1790
ANDHRA PRADESH,ANANTHAPUR,CHENNE KOTHAPALLE,1233,985,571,20,3,1580
ANDHRA PRADESH,ANANTHAPUR,CHILAMATHUR,813,462,222,258,0,942
ANDHRA PRADESH,ANANTHAPUR,D.HIRCHAL,3743,2541,1245,119,0,3905
