-----
{
 "description": "The table refers to the state's gross domestic product at constant prices for the base year 2004-05.", 
 "file_name": "UttarPradeshGSDPconst.csv", 
 "title": "Download CSV for Uttar Pradesh Gross State Domestic Product at factor cost at Constant Prices for the base year 2004-05.", 
 "url": "http://data.gov.in/sites/default/files/UttarPradeshGSDPconst.csv"
}
-----
"Sector","2004-05","2005-06","2006-07","2007-08","2008-09","2009-10","2010-11","2011-12","2012-13"
"Agriculture","7016710","7181347","7351197","7614063","7915167","7850286","8227906","8619706","8838674"
"Foresty and Logging","642292","654686","670806","684061","697520","712386","728777","745995","763316"
"Fishing","98074","102500","108571","118151","123630","139081","147772","152104","168783"
"Ag and Allied","7757076","7938533","8130574","8416275","8736317","8701753","9104455","9517805","9770773"
"Mining and Quarrying","273948","324218","329250","316469","363458","309149","301879","347695","354377"
"Sub total of primary","8031024","8262751","8459824","8732744","9099775","9010902","9406334","9865500","10125150"
"Manufacturing","3518745","3706366","4442728","4857125","4478113","5165847","5517828","5724095","5775959"
"Registered","1862856","1965000","2495653","2679545","2336088","2942198","3156381","3279570","3309285"
"Unregistered","1655889","1741366","1947075","2177580","2142025","2223649","2361447","2444525","2466674"
"Construction","1914862","2268362","2394439","2581772","3052848","3067822","3275375","3483777","3689320"
"Electricity, Gas and water Supply","358454","408532","444739","510065","484543","448506","454681","492578","510567"
"Sub total of secondary","5792061","6383260","7281906","7948962","8015504","8682175","9247884","9700450","9975846"
"Industry","6066009","6707478","7611156","8265431","8378962","8991324","9549763","10048145","10330223"
"Transport Storage and Communication","2024348","2238439","2456664","2760849","2993119","3299559","3715190","4146036","4380405"
"Railways","421887","443806","488836","568770","607005","671274","725950","801381","818210"
"Transport by other means","1145923","1247298","1336426","1454134","1533304","1680257","1914760","2098748","2276419"
"Storage","35282","34284","34210","34137","33758","33167","0","0","0"
"Communication","421256","513051","597192","703808","819052","914861","1074480","1245907","1285776"
"Trade, hotels and restaurants","3382460","3496647","3809618","4016509","4343248","4567525","5087591","5346175","5624176"
"Banking and Insurance","955737","1098648","1346489","1508044","1747651","2056774","2364510","2757471","2953251"
"Real estate, ownership of dwelling and business","2369188","2539117","2738082","3016373","3427647","3720216","4186932","4619627","5130813"
"Pubic Administration","1502920","1577887","1591504","1720443","2133626","2527337","2367377","2447860","2681096"
"Other Services","2026328","2185039","2338447","2517426","2711989","2877188","3234255","3443027","3726861"
"Sub total of tertiary","12260981","13135777","14280804","15539644","17357280","19048599","20955855","22760196","24496602"
"State domestic product","26084066","27781788","30022534","32221350","34472559","36741676","39610073","42326146","44597598"

"Figures are in Rs. Lakh"
