-----
{
 "description": "This data pertains to public account disbursements (major head-wise) of all states including UTs and Union Governments from year 2000 to 2011.", 
 "file_name": "Public_Account_Disbursements_FY_2000-11.xls", 
 "title": "Download XLS for Public Account Disbursements FY 2000-11", 
 "url": "http://data.gov.in/sites/default/files/Public_Account_Disbursements_FY_2000-11.xls"
}
-----
-----
{
 "description": "This data pertains to revenue receipts (sector-wise) of all states including UTs and Union Governments from year 2000 to 2011.", 
 "file_name": "Revenue_Receipts_FY_2000-11.xls", 
 "title": "Download XLS for Revenue Receipts FY 2000-11", 
 "url": "http://data.gov.in/sites/default/files/Revenue_Receipts_FY_2000-11.xls"
}
-----
-----
{
 "description": "This data pertains to public account receipts (major head-wise) of all states including UTs and Union Governments from year 2000 to 2011.", 
 "file_name": "Public_Account_Receipts_FY_2000-11.xls", 
 "title": "Download XLS for Public Account Receipts FY 2000-11", 
 "url": "http://data.gov.in/sites/default/files/Public_Account_Receipts_FY_2000-11.xls"
}
-----
-----
{
 "description": "This data pertains to total expenditure and disbursements (sector-wise) of all states including UTs and Union Governments from year 2000 to 2011.", 
 "file_name": "Total_Expenditure_And_Disbursements_FY_2000-11.xls", 
 "title": "Download XLS for Total Expenditure And Disbursements FY 2000-11", 
 "url": "http://data.gov.in/sites/default/files/Total_Expenditure_And_Disbursements_FY_2000-11.xls"
}
-----
"Sector","Cat","Identity","FY 00","FY 01","FY 02","FY 03","FY 04","FY 05","FY 06","FY 07","FY 08","FY 09","FY 10","FY 11"
"TCE","A","A Union Govt",29023.1695,25425.6759,31295.0493,30497.058,35400.7328,53653.9655,56119.3531,59293.1866,116937.1467,77555.6119,100685.947,140671.0472
"TCE","B","A UT Puducherry",103.0653,107.8575,119.2448,147.5134,146.4856,192.6555,288.8087,360.3237,275.3679,260.8633,369.044,371.0886
"TCE","B","Andhra Pradesh",1992.2261,2723.5284,3090.963,3796.0741,4250.8709,5414.2321,7661.6764,9903.9961,12773.9336,10366.4586,13793.052,11123.1907
"TCE","B","Arunachal Pradesh",258.8732,264.2484,301.5061,290.0659,433.3513,375.0709,437.6108,585.6007,753.2055,1290.2297,1030.3057,1649.2027
"TCE","B","Assam",482.4699,561.4785,513.1537,505.5271,621.9959,2180.5303,1085.324,1452.9785,1688.1079,2373.0103,2629.3514,2000.8898
"TCE","B","Bihar",1233.4487,1075.5042,742.4768,969.7439,1549.1714,1204.5195,2083.9007,5211.1319,6103.7768,6436.3547,7332.0913,9195.9404
"TCE","B","Chattisgarh",0.0,220.5072,476.2589,819.7901,1015.4898,1279.1281,1496.9068,2198.1001,3130.6865,2940.1575,2744.9228,2951.5133
"TCE","B","D NCT Delhi",510.4795,869.4135,611.6146,914.0677,852.7251,1425.5248,1502.4164,1782.9411,3764.4584,3995.4022,4717.2705,3984.7997
"TCE","B","Goa",129.3017,182.7853,184.7215,206.3941,301.4206,425.9986,580.3538,626.3445,688.5265,897.0674,1084.0821,1221.1986
"TCE","B","Gujarat",2695.1428,2994.8437,1756.8683,2341.2961,3211.4432,4100.2053,6958.6553,7845.4378,6801.0326,10219.7616,8046.7323,9683.5458
